,state,voted,calculated_age,Voters_Gender,Parties_Description,EthnicGroups_EthnicGroup1Desc,Ethnic_Description,Residence_HHParties_Description,CommercialData_EstimatedIncomeAmount,CommercialData_PropertyType,CommercialData_EstHomeValue,nonpartisan_donation
0,co,0,53.06330222372997,0,Democratic,European,Hispanic,Independent,73374.29097530124,Triplex,675338.5647413717,0
1,ct,0,54.88871824450478,1,Non-Partisan,European,Korean,Democratic,212160.055538573,Apartment,430079.6759990829,1
2,pa,1,83.23135813079094,1,Republican,European,German,Democratic & Republican,131051.25046577155,Residential,206880.60947675706,0
3,ca,1,50.657043294989684,1,Non-Partisan,European,Irish,Democratic,49621.44005908273,Apartment,946801.9794876978,1
4,ca,0,63.58899127152864,1,Democratic,European,Italian,Democratic & Independent,246462.95036470584,Residential,386455.6162753065,0
5,co,1,59.667855425112016,0,Democratic,European,Chinese,Democratic,167496.9899334676,Residential,57947.10858562201,0
6,ma,0,58.32089563005796,1,Democratic,Likely African-American,Polish,Republican,66335.26871342887,Residential,227572.87706656248,0
7,co,1,15.525683437147038,0,Democratic,European,Polish,Republican,138325.296146015,Apartment,371977.3779187763,0
8,fl,1,13.96209341089795,1,Democratic,European,Hispanic,Democratic,62262.60761240708,Residential,342501.67137127434,0
9,in,1,77.45939970629313,0,Democratic,Hispanic and Portuguese,Irish,Democratic,54174.751535469586,Residential,485925.56379845785,0
10,az,0,16.136307894829102,0,Democratic,Other,Irish,Independent,21108.489658304763,Apartment,226411.86435451164,1
11,md,0,19.41800558065798,0,Democratic,European,Irish,Democratic,112923.45883779421,Residential,605921.7058539819,0
12,mi,1,13.674336060271301,0,Republican,European,German,Democratic & Independent,80085.77454820645,Residential,109439.16954195517,0
13,mi,1,23.54736318709182,0,Democratic,Likely African-American,English/Welsh,Democratic & Independent,69038.45350735774,Residential,455258.8517414755,0
14,il,1,40.53832707199837,1,Republican,European,African or Af-Am Self Reported,Independent,81739.12855112996,Condominium,117053.5006015488,1
15,or,0,48.695457127867606,1,Democratic,European,English/Welsh,Independent,77501.1180690897,Duplex,596705.5396350217,0
16,ia,1,33.71701900694481,0,Republican,European,Hispanic,Independent,108466.1279883711,Residential,32214.449677639845,0
17,ky,1,56.27414291512375,1,Democratic,European,Hispanic,Democratic & Republican & Independent,85731.19511627265,Triplex,177109.67183120042,1
18,md,0,28.477808332638734,0,Non-Partisan,Hispanic and Portuguese,Likely Af-Am (Modeled),Republican & Independent,264028.03921990795,Apartment,59603.29198515849,0
19,ny,0,62.92523442296639,1,Democratic,European,English/Welsh,Independent,43466.62027071709,Residential,174344.6370109221,0
20,ga,0,21.180740043022947,1,Republican,European,Hispanic,Republican,86849.09654689625,Residential,308844.2986935213,0
21,in,1,18.87543320103334,1,Independence,Other,French,Republican & Independent,78582.6794388047,Apartment,112976.06121591151,0
22,fl,0,61.63413853022557,1,Republican,Likely African-American,Scots,Democratic & Republican & Independent,154203.30890018167,Residential,191442.89468524652,0
23,pa,0,41.63511899363134,0,Democratic,European,Scots,Independent,235396.84326233756,Apartment,181038.86133362332,0
24,ny,1,32.503259371201615,0,Non-Partisan,European,Hispanic,Independent,100465.23150254205,Mobil Home,147827.1058286429,0
25,ca,1,58.94584842984123,1,Democratic,European,Likely Af-Am (Modeled),Democratic,90244.37894221813,Residential,1212767.234577922,0
26,ca,0,46.09427988453136,0,Non-Partisan,European,Likely Af-Am (Modeled),Independent,267777.80432177894,Apartment,435171.76713128114,0
27,ca,1,44.30067253907554,1,Non-Partisan,European,Slovakian,Democratic,234508.96536541882,Residential,443932.0997066116,0
28,mi,1,61.67929662240302,0,Republican,European,English/Welsh,Republican & Independent,110594.0642866583,Unknown,937204.1749124327,0
29,tx,1,23.213797864431328,1,Democratic,Likely African-American,Dutch (Netherlands),Republican,211535.09958306098,Apartment,994551.1932911474,0
30,ca,0,41.703539942162465,0,Non-Partisan,European,Korean,Republican,75960.4062359722,Apartment,119527.72247752293,0
31,ca,0,43.79793844550325,1,Non-Partisan,Likely African-American,Scots,Republican & Independent,68336.52062300607,Residential,-4596.002568343625,1
32,il,0,55.76140263905124,0,Republican,Likely African-American,German,Democratic & Republican,83557.64105950393,Residential,133203.75384262606,0
33,ok,1,61.57991323027424,1,Democratic,European,French,Independent,111622.3500109197,Unknown,762773.3476332499,1
34,ma,1,59.206403758152206,0,Democratic,Hispanic and Portuguese,Italian,Democratic,88807.68380133963,Apartment,189294.13256664813,0
35,tn,1,25.30749383524337,1,Republican,European,Irish,Independent,255016.3868572692,Residential,35731.695832028316,0
36,ny,1,27.642392643775732,0,Republican,European,German,Independent,92389.26314488653,Residential,118732.19082722954,0
