,state,voted,calculated_age,Voters_Gender,Parties_Description,EthnicGroups_EthnicGroup1Desc,Ethnic_Description,Residence_HHParties_Description,CommercialData_EstimatedIncomeAmount,CommercialData_PropertyType,CommercialData_EstHomeValue,nonpartisan_donation
0,wv,1,51.9378627320946,0,Democratic,Hispanic and Portuguese,English/Welsh,Democratic & Republican,60157.49659928646,Unknown,183555.43696425072,1
1,ok,1,25.84421658243021,0,Republican,European,English/Welsh,Democratic & Republican,53663.167788003746,Residential,1296042.154874225,0
2,nj,1,79.4866918049634,0,Non-Partisan,European,Portuguese,Democratic,87733.02921028824,Residential,62813.77078103225,0
3,wi,1,22.463378445186972,0,Republican,Likely African-American,French,Republican,62274.30690613909,Unknown,228436.1845813411,0
4,md,0,24.358066199373795,0,Republican,East and South Asian,English/Welsh,Democratic,4643.649267309891,Residential,405818.2814714972,0
5,mi,1,52.29762193956222,0,Democratic,European,English/Welsh,Independent,42401.26518633493,Residential,371223.3613887173,0
6,sc,1,48.66876742898062,0,Democratic,Likely African-American,Indian/Hindu,Democratic,163852.94063588174,Apartment,329924.39074909315,0
7,il,1,63.74564354209453,0,Democratic,European,English/Welsh,Democratic & Independent,66307.69195983309,Unknown,451037.26569480397,1
8,ny,1,53.989005457511915,0,Republican,European,Likely Af-Am (Modeled),Democratic,252179.9204360695,Triplex,251636.81731856737,0
9,mi,1,60.269269631029815,0,Non-Partisan,European,Likely Af-Am (Modeled),Independent,41664.71272109902,Residential,238805.77643485393,0
10,ca,1,16.966738872174464,1,Democratic,European,Likely Af-Am (Modeled),Independent,72540.24573684692,Residential,434961.8821415651,1
11,il,0,15.73259545410202,0,Democratic,European,Arab,Democratic,35992.000847123214,Residential,124703.37339115026,0
12,nj,1,21.48065725518842,0,American Independent,European,Hispanic,Republican & Independent,23661.79367208697,Residential,1066562.238752576,1
13,wa,1,69.51446824378876,1,Independence,European,Irish,Republican,142096.72958834082,Residential,386520.77113305056,1
14,tx,1,55.404396894369725,0,Non-Partisan,Other,Portuguese,Democratic,132910.96983867764,Residential,171743.75545800588,0
15,az,1,25.650642198949722,0,Non-Partisan,European,English/Welsh,Republican,47644.22352803049,Apartment,120937.30414596776,1
16,ca,1,26.17239886425501,0,Republican,Likely African-American,English/Welsh,Republican,241601.84629327204,Apartment,193924.64148719556,0
17,tx,0,29.879913476667827,0,Non-Partisan,Other,English/Welsh,Independent,105351.2577446198,Residential,222762.48961583542,0
18,sc,1,79.30908885816494,0,Democratic,European,Swedish,Independent,254469.70978053258,Residential,511109.4217171872,0
19,nc,0,38.77929091456618,0,Democratic,European,English/Welsh,Republican,147361.34768351668,Apartment,66313.24166974546,0
20,ca,1,42.21535765163532,1,Democratic,Other,English/Welsh,Democratic,61570.897230505114,Residential,219493.03035093597,0
21,nc,0,27.265541901118624,1,Republican,European,English/Welsh,Democratic,20011.63645198567,Residential,325936.6354843867,1
22,in,0,26.130712800284858,0,Republican,European,Chinese,Democratic & Republican & Independent,73586.26742572614,Residential,456773.42206003965,0
23,ca,0,59.22705088653758,1,Democratic,European,English/Welsh,Democratic & Republican,91226.28811277499,Residential,795438.652348241,1
24,tx,1,44.91076913159391,1,Democratic,European,English/Welsh,Democratic & Independent,60036.68209093139,Unknown,390618.0764985252,0
25,nc,1,56.05803295116083,0,Republican,European,Polish,Democratic,76531.47859835003,Residential,295732.4986081716,1
26,sc,1,23.282309347287644,1,Democratic,European,Hispanic,Independent,155517.47438788734,Unknown,796763.5374635913,0
27,tn,0,51.958868263894786,0,Non-Partisan,European,French,Democratic,55805.02206958798,Residential,650728.7009221623,0
28,tx,1,38.771104412259845,0,Democratic,Other,Likely Af-Am (Modeled),Independent,248040.73326794463,Residential,64275.2671927794,0
29,fl,0,48.70331117293143,0,Republican,European,African or Af-Am Self Reported,Democratic,110920.44778236485,Residential,187676.25818023115,0
30,pa,1,38.7252446452906,1,Democratic,European,English/Welsh,Democratic,80765.82211573026,Duplex,320461.3220352341,0
31,ca,1,53.19204056494874,0,Republican,European,French,Democratic & Republican,61950.39651080045,Unknown,75278.43678160981,1
32,ca,0,92.76811974006762,0,Democratic,Hispanic and Portuguese,Scots,Republican,22599.632872305647,Duplex,80739.23212096404,0
33,ca,1,35.71658896709624,0,Democratic,European,Thai,Democratic,144028.7583079677,Apartment,366277.74383370223,0
34,tx,0,51.996605812538824,1,Democratic,Other,Hispanic,Independent,95636.68921220386,Residential,60063.46931111,0
35,md,1,68.65572472833708,0,Non-Partisan,European,English/Welsh,Independent,80762.21115569262,Residential,38204.23312795673,0
36,ca,1,51.12218748602228,1,Republican,European,Italian,Democratic & Independent,81279.99208550042,Residential,5922.585939732031,1
37,dc,1,54.99948119419953,0,Democratic,European,English/Welsh,Republican & Independent,114880.24393549436,Residential,382240.0379329778,1
38,il,0,89.43227609440287,0,American Independent,East and South Asian,Greek,Democratic,155025.94470071277,Unknown,726862.9287996923,1
39,ca,1,102.33540497438867,1,Democratic,European,French,Independent,53972.16743736098,Apartment,253328.47543243412,0
40,wy,1,49.69637360982089,0,Non-Partisan,European,Likely Af-Am (Modeled),Republican,13898.576317270117,Apartment,179031.33350012213,0
41,tx,1,61.13091020387402,1,Democratic,European,English/Welsh,Independent,58361.87393958424,Condominium,233372.44209300526,0
42,ca,1,48.93307667854539,0,Republican,European,English/Welsh,Democratic & Republican,17399.82430538425,Condominium,305977.12551470846,0
43,nd,1,14.648289977952189,0,Republican,European,English/Welsh,Independent,84476.79171098657,Residential,158243.95827389078,1
44,pa,1,40.66138100466817,0,Democratic,European,Irish,Democratic,132539.3832900827,Residential,668649.8569819881,1
45,al,1,58.670034587653554,1,Democratic,European,Hispanic,Democratic & Independent,74076.93721831372,Apartment,1402218.3783135521,0
46,ri,0,22.69818730293104,0,Democratic,European,Vietnamese,Democratic,93491.72482331182,Condominium,431119.8571000594,0
47,pa,1,71.86015583825721,0,Republican,Hispanic and Portuguese,Hispanic,Independent,60344.11284791635,Residential,123361.19214710992,0
48,md,1,41.2609385499735,0,Democratic,European,English/Welsh,Democratic & Republican & Independent,52411.08852221005,Residential,239332.7255482329,0
49,ca,0,69.97992204178456,1,American Independent,European,English/Welsh,Republican & Independent,117574.27432776203,Residential,266793.0139421121,1
50,md,1,79.99012789734658,0,Democratic,Other,English/Welsh,Democratic,-2626.1880772122604,Residential,152540.2460997265,0
51,mn,1,33.7130689475432,0,Democratic,Likely African-American,English/Welsh,Democratic & Republican & Independent,40152.214087622626,Apartment,182426.082979769,1
52,ca,1,85.35025800884455,0,Democratic,European,German,Republican & Independent,74231.92544531003,Residential,250413.77790765854,0
53,ia,1,64.9489825845038,0,Republican,Hispanic and Portuguese,Likely Af-Am (Modeled),Democratic,86287.20599026517,Apartment,256801.7004190901,0
54,tx,0,18.757835107374575,1,Democratic,Hispanic and Portuguese,English/Welsh,Independent,95315.8365300328,Residential,236697.95606859325,0
55,nh,1,56.938463904491535,0,Working Family Party,European,Hispanic,Democratic & Independent,31774.244940843215,Apartment,40692.98736675434,0
56,ma,0,52.70818730927539,1,Democratic,European,Irish,Democratic,34764.432916907346,Apartment,36817.781259960975,0
57,ny,1,72.80767434199973,0,Non-Partisan,European,English/Welsh,Democratic,75930.79008799317,Residential,202411.17609349097,0
58,fl,0,73.86708221565127,0,Democratic,European,English/Welsh,Independent,132160.6210632669,Residential,280233.20040539163,0
59,fl,1,45.92424154819683,1,Democratic,European,Irish,Democratic,59043.90656847907,Unknown,211329.21865283026,0
60,tx,0,34.52739100975587,0,Democratic,European,Chinese,Democratic,57333.39234337401,Residential,29163.18027188431,0
61,ks,1,48.04589940561539,0,Democratic,European,Polish,Democratic,118293.39645142881,Residential,401863.4119538689,0
62,nc,0,39.585512091242634,1,Non-Partisan,European,Irish,Democratic,52340.869309880945,Residential,393066.6295120429,0
63,mi,0,51.95067460728634,1,Non-Partisan,European,Likely Af-Am (Modeled),Democratic,32520.583265166788,Apartment,189590.7214582972,0
64,ks,1,25.569186233989715,0,Non-Partisan,European,German,Democratic,34284.93225940464,Unknown,511833.5868834966,0
65,me,1,99.93402478976792,0,Democratic,European,Italian,Independent,80400.79556874876,Residential,260254.6152507441,1
66,md,1,89.8349273977508,1,Democratic,European,English/Welsh,Independent,36979.83663332171,Residential,316078.65916598856,1
67,nc,0,57.722144188788086,1,Republican,European,Italian,Democratic,65393.450504055945,Apartment,343804.4725548367,0
68,ga,1,83.38311919677237,0,Democratic,European,Italian,Independent,160529.91936998154,Residential,291382.34619362117,1
69,ma,0,31.54429327868063,0,Democratic,European,English/Welsh,Democratic & Independent,71827.622720967,Residential,117605.1838972164,0
70,sc,1,34.68875351554288,0,Non-Partisan,European,German,Independent,56640.0767000355,Residential,627593.2061581548,0
71,ny,1,16.96490137080428,0,Democratic,Likely African-American,English/Welsh,Independent,80247.48558023592,Unknown,534497.5775108837,0
72,tn,1,51.60094669647687,0,Republican,European,English/Welsh,Independent,57033.471559965226,Residential,374974.64132504474,0
73,ca,1,20.94471846963582,0,Democratic,European,German,Democratic,83455.03979475044,Residential,397907.0615931299,0
74,pa,1,63.81704182814231,1,Democratic,European,German,Democratic,63332.18531843672,Residential,1109698.0372159677,0
75,sc,0,49.39070635432548,0,Peace and Freedom,European,English/Welsh,Republican,132096.21451474904,Triplex,175014.95997771726,0
76,ca,1,32.59772575883848,1,Democratic,European,African or Af-Am Self Reported,Democratic,56906.66109311858,Apartment,1060653.725943305,0
77,fl,0,48.0269742187306,0,Democratic,Hispanic and Portuguese,English/Welsh,Democratic,91673.2497461773,Unknown,1863630.5646374703,1
78,il,1,23.148523195573002,0,Republican,East and South Asian,English/Welsh,Independent,67849.18139043129,Unknown,137290.5907923833,0
79,ak,1,21.71372519566938,0,Democratic,European,Likely Af-Am (Modeled),Democratic,66916.76810951921,Apartment,496625.21753526456,0
80,ny,1,47.21597514039005,1,Non-Partisan,Likely African-American,Scots,Democratic,121553.77983218447,Unknown,156858.55141553332,0
81,ca,1,84.57914965963168,0,Non-Partisan,European,English/Welsh,Democratic & Independent,123605.8502828959,Residential,59190.08679105194,0
82,ma,1,47.22810490332402,0,Democratic,European,Pakistani,Independent,22970.602739393547,Residential,258503.58018779432,0
83,ut,0,80.17782124731562,1,Non-Partisan,Likely African-American,Hispanic,Democratic,88739.30062617555,Residential,437535.1334862862,0
84,ca,1,77.22918499500803,0,Democratic,European,Czech,Democratic & Independent,84046.374688927,Residential,259704.27049076196,0
85,ct,1,78.51103206032971,0,Democratic,European,English/Welsh,Democratic,221567.10060991673,Apartment,153815.84645595233,0
86,ny,1,17.910090258908394,1,Republican,European,English/Welsh,Democratic,121476.31897082119,Residential,129392.63237696618,1
87,dc,1,40.59206050141542,0,Democratic,European,English/Welsh,Republican & Independent,65287.42490887208,Residential,569428.2176553614,1
88,pa,1,23.475145709422932,1,Democratic,Likely African-American,Belgian,Democratic & Republican,67750.0192569445,Residential,330766.19168451463,0
89,ak,1,46.59861518368581,0,Democratic,European,English/Welsh,Republican,238314.925129002,Residential,281921.95869615243,0
90,ca,1,17.711907991313662,0,Republican,European,Indian/Hindu,Democratic & Independent,240141.4188445182,Apartment,3618752.939349732,0
91,ga,1,35.605502816248574,1,Democratic,European,Hungarian,Republican & Independent,32647.855047053745,Unknown,707806.3204863719,1
92,ca,1,16.504303176554,1,Republican,European,Myanmar (Burmese),Democratic,112747.89620337672,Residential,2376182.389003931,1
93,fl,1,51.280589613200846,0,Democratic,European,English/Welsh,Democratic & Independent,56051.97438073147,Residential,251886.13654825243,0
94,tx,1,62.52737968097033,0,Democratic,Other,Likely Af-Am (Modeled),Independent,130898.00170064149,Residential,158394.7785093778,0
95,md,1,66.72662803505774,1,Non-Partisan,European,English/Welsh,Independent,49050.20384090559,Apartment,144184.74214697414,0
96,ga,1,65.81477442755293,0,Democratic,European,Irish,Republican & Independent,84352.18734200348,Residential,72624.51430276777,0
97,ga,1,85.16601868877237,0,Independence,European,German,Democratic & Independent,34048.92601406002,Residential,132406.48400904142,0
98,mn,1,46.44923390379738,1,Democratic,European,Hispanic,Republican & Independent,99995.8113333882,Residential,70513.99831211471,0
99,ct,1,68.5810505789188,1,Democratic,European,English/Welsh,Republican,59168.17263846322,Apartment,111674.01646402373,0
100,nj,1,66.393053415641,1,Democratic,Hispanic and Portuguese,Hispanic,Independent,98008.9830793729,Apartment,64190.77801864368,1
101,ca,0,57.87511097304377,1,Republican,European,English/Welsh,Republican,43710.391050671125,Unknown,306981.0811860225,0
102,tx,1,51.541601027164916,0,Non-Partisan,European,English/Welsh,Independent,67286.49694604255,Apartment,144793.5155139308,0
103,co,1,42.49321083243505,0,Democratic,European,English/Welsh,Democratic,34812.682330080745,Residential,345464.5386029485,0
104,ca,0,56.177332669811655,0,Republican,Other,Indian/Hindu,Democratic,31819.67326297298,Residential,781150.5948445417,0
105,nc,1,54.93575074401335,1,Democratic,European,Filipino,Democratic,147695.93602660604,Residential,768571.1162626541,1
106,nv,1,24.966481482411155,0,Libertarian,European,English/Welsh,Democratic,64315.8229771249,Apartment,153112.4960455292,0
107,pa,0,57.309386866433925,0,Republican,European,Arab,Republican,238599.9548110611,Residential,261137.01845652916,0
108,nc,0,28.144518058893812,0,Democratic,European,German,Democratic,246386.92443043453,Residential,267639.80275370413,0
109,ny,0,71.16779185591301,0,Democratic,European,German,Republican,20760.54926571834,Residential,596414.9399543734,1
110,mi,1,52.35104099479614,0,Republican,European,English/Welsh,Democratic,131859.4657526138,Unknown,57237.71538981177,0
111,nj,0,52.82837525928403,0,Constitution,Other,Russian (omitting former Soviet States),Democratic,35582.28475627101,Residential,162479.58214450313,0
112,ma,1,53.169697909101934,1,Non-Partisan,European,Italian,Democratic,95483.75519587047,Apartment,101599.86664139113,1
113,ga,0,44.74078415724705,1,Democratic,European,German,Democratic,141224.39155388,Apartment,226846.92418015908,0
114,ky,0,57.84784626999968,0,Democratic,Likely African-American,Likely Af-Am (Modeled),Democratic,112714.4552229187,Residential,216226.777618642,0
115,or,1,60.34730037654264,0,Democratic,European,English/Welsh,Democratic,65257.27472220149,Residential,157895.6783766953,0
116,ca,1,50.88924047150243,0,Democratic,European,French,Democratic,59749.742776698346,Residential,94892.78084958921,0
117,wv,0,43.18702557371098,0,Democratic,European,Scots,Republican,74553.03077947666,Residential,138361.87910975536,1
118,mi,1,38.67099971711551,1,Republican,European,English/Welsh,Democratic & Independent,243787.60289873384,Apartment,239945.10994358402,0
119,nj,0,71.33380621849827,0,Non-Partisan,European,Dutch (Netherlands),Republican,62773.51511717241,Apartment,224159.27313770313,0
120,ny,1,72.00991310608849,0,Democratic,European,Hispanic,Independent,46464.56528986606,Residential,872665.8384476341,0
121,ca,1,18.241510878847446,0,Libertarian,European,English/Welsh,Democratic,139500.9259498766,Apartment,341966.92628644675,0
