,state,voted,calculated_age,Voters_Gender,Parties_Description,EthnicGroups_EthnicGroup1Desc,Ethnic_Description,Residence_HHParties_Description,CommercialData_EstimatedIncomeAmount,CommercialData_PropertyType,CommercialData_EstHomeValue,nonpartisan_donation
0,ca,0,34.08283732537816,1,Democratic,Hispanic and Portuguese,Hispanic,Independent,55116.45181207808,Apartment,549403.406745191,1
1,ca,1,37.31089152539261,1,Non-Partisan,Hispanic and Portuguese,Turkish,Republican,89025.14799509624,Residential,249033.16677983277,0
2,tx,1,18.36049811819735,1,Democratic,Hispanic and Portuguese,Irish,Democratic,79759.77339459065,Apartment,678943.8973156838,1
3,va,1,55.196480038360626,1,Republican,European,Swedish,Democratic,53738.984354220454,Residential,431971.58380478364,0
4,fl,1,53.41284083449385,1,Democratic,European,Italian,Independent,46948.709812284935,Duplex,10341.815204391649,0
5,ca,1,70.90124988307979,0,Democratic,European,Hispanic,Democratic & Independent,80002.38227484061,Residential,229485.62757529868,0
6,ms,1,79.43231250602858,1,Democratic,European,Norwegian,Republican & Independent,43538.317692359225,Apartment,750584.6179393628,1
7,ca,1,54.31931076946502,0,Democratic,European,Hispanic,Democratic & Independent,34035.89347170198,Residential,73157.31713383514,1
8,ga,1,56.78538260478983,1,Non-Partisan,Hispanic and Portuguese,Hispanic,Democratic,126448.88229330172,Apartment,231619.7282993538,0
9,fl,1,33.168396232819376,0,Democratic,European,French,Democratic & Independent,64316.98838928614,Apartment,2073614.4523380855,0
10,nj,1,29.328324297411648,1,Republican,European,Irish,Independent,36980.6740856384,Residential,414051.6883072442,0
11,ny,1,51.78359349319053,1,Non-Partisan,European,Hispanic,Independent,48938.54491354346,Apartment,305363.15328250965,1
12,tx,0,86.26642271166016,1,Republican,European,Dutch (Netherlands),Republican,88278.16466060001,Residential,257765.8198355979,0
13,il,1,53.6517986894472,1,Democratic,European,Likely Af-Am (Modeled),Independent,26585.134735312353,Unknown,412970.2724774359,0
14,wi,1,36.66123508938499,1,Libertarian,European,Irish,Republican,75440.85623935168,Residential,85218.79389557727,0
15,ct,1,26.39414172343432,0,Republican,European,German,Independent,53385.436749052365,Duplex,67479.28392885556,0
16,ca,0,51.46582770251931,1,Democratic,Other,Filipino,Republican & Independent,133685.6993350271,Apartment,267453.6955336034,0
17,al,1,54.23056402726172,1,Non-Partisan,European,English/Welsh,Independent,55912.62375033647,Residential,524503.9671822523,1
18,ia,1,29.756510437877168,0,Non-Partisan,European,German,Democratic & Independent,79990.83168653597,Unknown,457441.7357449383,0
19,ny,1,34.43052936332865,1,Non-Partisan,Likely African-American,African or Af-Am Self Reported,Democratic,71692.43400185155,Residential,430324.6517560658,0
20,md,1,83.30690269230857,1,Republican,European,English/Welsh,Independent,97363.59243203315,Residential,504562.93547700864,0
21,az,1,35.649775830008075,0,Democratic,European,Latvian,Republican & Independent,10584.293261804823,Unknown,192510.93926239928,0
22,ky,1,32.78135315955524,1,Republican,European,Hispanic,Republican & Independent,84876.62332683786,Apartment,490321.17614783667,0
23,mi,1,63.07597106775199,1,Non-Partisan,European,Hispanic,Democratic & Independent,43485.80292834784,Apartment,157420.74416608913,0
24,ok,1,85.18767064074046,0,Democratic,European,English/Welsh,Republican,105162.72625065816,Residential,1091322.0311572426,0
25,or,1,23.385382846659027,0,Non-Partisan,European,German,Independent,220101.42849682728,Residential,69811.99087573827,0
26,oh,1,26.28682324072708,1,Republican,Hispanic and Portuguese,English/Welsh,Democratic,80283.7645564633,Residential,422029.5180298863,0
27,ca,1,20.92447155749529,0,Non-Partisan,European,Likely Af-Am (Modeled),Independent,85810.52939051947,Unknown,62554.97431158101,0
28,hi,1,43.81078453259167,1,Democratic,European,English/Welsh,Democratic,36206.63289567556,Residential,141364.04261951114,1
29,fl,1,69.81590998472805,0,Non-Partisan,European,German,Republican,2380.807924592482,Unknown,173242.67838307316,0
30,ok,1,40.235158124438804,1,Democratic,European,Hispanic,Democratic,23163.700944562894,Residential,170511.55488940206,0
31,ca,0,50.41728199569537,1,Other,Hispanic and Portuguese,English/Welsh,Democratic & Independent,50828.53866278834,Residential,1031109.9143562104,0
32,la,1,102.44905942166753,1,Republican,European,Indonesian,Democratic,22532.679391249945,Unknown,2403979.5912880977,0
33,ms,1,60.28113671429744,1,Non-Partisan,European,English/Welsh,Republican,56577.362570368736,Apartment,217121.5735024732,0
