,state,voted,calculated_age,Voters_Gender,Parties_Description,EthnicGroups_EthnicGroup1Desc,Ethnic_Description,Residence_HHParties_Description,CommercialData_EstimatedIncomeAmount,CommercialData_PropertyType,CommercialData_EstHomeValue,nonpartisan_donation
0,ny,1,76.58914327921865,1,Republican,European,English/Welsh,Independent,81498.11885142195,Residential,117915.89580712229,0
1,fl,0,35.345028506783216,0,Non-Partisan,Hispanic and Portuguese,French,Democratic,92613.8547696167,Residential,334922.43336154264,0
2,nj,1,84.27220700906223,0,Republican,European,English/Welsh,Democratic,32646.193163670403,Residential,323986.69208973384,0
3,la,1,78.63755198187833,1,Democratic,European,English/Welsh,Democratic,47518.18990825702,Apartment,96435.96057329734,1
4,oh,1,17.977890298258338,1,Non-Partisan,European,Likely Af-Am (Modeled),Democratic & Republican,63623.36849830129,Triplex,174627.52060808692,0
5,ca,1,72.45736522497995,1,Democratic,Likely African-American,Dutch (Netherlands),Democratic,90868.92284888687,Residential,791827.2230448518,1
6,fl,0,50.603093539680685,0,Non-Partisan,Hispanic and Portuguese,English/Welsh,Democratic,255091.21023679222,Residential,-31739.765701186712,0
7,al,1,18.500389442530405,1,Republican,European,Scots,Republican,82110.83391383213,Residential,325015.3613604293,0
8,ny,1,55.78503795449818,0,Republican,Other,English/Welsh,Democratic & Republican,235594.5809004395,Apartment,350120.0936607891,0
9,tx,1,35.98430172254735,1,Republican,European,Hungarian,Democratic,67306.85810581571,Residential,103831.79515884232,0
10,ca,1,22.21892195615085,1,Democratic,European,Irish,Democratic & Independent,57322.21187212954,Residential,387311.51485487365,1
11,ca,1,45.32508067783406,1,Republican,Hispanic and Portuguese,Likely Af-Am (Modeled),Republican,121210.00128588483,Mobil Home,168396.74381095392,0
12,ca,0,56.95783222418999,1,Democratic,Likely African-American,Russian (omitting former Soviet States),Democratic,115259.21727653015,Residential,138070.61748791713,0
13,mo,1,37.858396461860664,0,Republican,East and South Asian,German,Independent,145567.3384665592,Unknown,89844.27417824496,0
14,vt,1,55.43732734572521,0,Democratic,European,English/Welsh,Democratic & Independent,82380.82805679509,Residential,147065.20209243323,0
15,pa,1,77.90770254976721,1,Non-Partisan,European,Armenian,Democratic,144770.249020553,Unknown,196332.8205631696,1
16,oh,1,50.613259947984304,0,Republican,European,English/Welsh,Republican & Independent,111300.694773952,Residential,110575.54205918766,0
17,mi,1,64.9782336230058,0,Republican,European,Greek,Democratic & Independent,35653.9419413671,Residential,371675.68179666705,0
18,ca,1,33.9228505664244,0,Non-Partisan,Hispanic and Portuguese,African or Af-Am Self Reported,Democratic,118493.22367768084,Triplex,-6575.8292904684495,0
19,hi,1,101.09390090712446,0,Non-Partisan,European,English/Welsh,Democratic,20415.437182395617,Duplex,463244.33998427447,0
20,ca,0,97.12006314853147,0,Independence,European,English/Welsh,Democratic,11579.54391097385,Apartment,614590.483396118,0
21,nj,1,51.367310709968834,0,Republican,European,Irish,Democratic & Republican,88898.58733355148,Apartment,160120.43832752277,0
22,mt,0,70.42928039632697,0,Democratic,Other,English/Welsh,Democratic,234092.90866727047,Residential,450306.7456717527,0
23,ca,1,70.81558037781828,0,Non-Partisan,East and South Asian,English/Welsh,Democratic,64689.2994905674,Residential,73150.30017346195,0
24,nd,1,19.5240733741499,1,Republican,European,Dutch (Netherlands),Independent,51848.94900546217,Triplex,59662.11287387146,0
25,ms,1,55.66624523436049,1,Green,European,Pakistani,Democratic & Independent,28156.984759858795,Residential,106858.99938035698,0
26,ma,1,54.274223717693204,1,Democratic,Hispanic and Portuguese,Likely Af-Am (Modeled),Independent,65637.49898700643,Residential,-31841.700770650277,0
27,ia,1,82.08918334090671,1,Republican,European,English/Welsh,Democratic,50123.780347150445,Apartment,140824.1787351784,0
28,al,0,62.214592177655405,1,Non-Partisan,European,Slovakian,Democratic,122032.99062898575,Unknown,284246.30796118214,1
29,tx,1,100.57996351554716,0,Democratic,East and South Asian,Belgian,Democratic,132403.26080590382,Residential,353729.9454315745,0
30,va,1,54.684714301949285,0,Non-Partisan,European,English/Welsh,Democratic,131391.4245000636,Apartment,266422.72602576273,0
31,fl,1,55.75704404443762,0,Republican,European,English/Welsh,Democratic,163152.91507499988,Residential,238822.11165047428,0
32,nj,1,37.40371126701531,1,Republican,European,Scots,Democratic,93096.29699438419,Residential,137290.11125308828,0
33,wi,1,30.43988516404703,1,Democratic,Likely African-American,Italian,Independent,75630.50410700474,Residential,-31573.19296198325,0
34,mi,1,47.451488259037085,0,Conservative,European,Italian,Independent,132383.64201016165,Residential,209449.9359305775,1
35,la,1,78.96328567846912,0,Republican,East and South Asian,English/Welsh,Democratic,13375.758698178966,Residential,155025.3660185057,0
36,co,1,46.9616457606251,1,Republican,Hispanic and Portuguese,Croatian,Democratic,16474.502073360425,Triplex,103679.59964766896,0
37,ny,0,29.071536684558534,0,Republican,European,Likely Af-Am (Modeled),Independent,125253.44854322949,Residential,377558.23017300834,0
38,ca,1,55.40567608603926,1,Democratic,Hispanic and Portuguese,English/Welsh,Democratic,49012.3808929542,Residential,160092.49650391095,0
39,pa,1,38.650607036321766,1,Peace and Freedom,European,African or Af-Am Self Reported,Democratic,105469.21506893996,Residential,19032.221160021232,0
40,fl,1,52.91358142077131,1,Republican,European,Scots,Democratic & Republican & Independent,41763.01555316449,Residential,11563.554353740736,1
41,tx,0,89.04033443308464,1,Democratic,European,English/Welsh,Democratic,99501.98735953898,Apartment,70120.29844051818,1
42,ms,1,26.81242090819287,0,Democratic,Other,English/Welsh,Democratic,103221.15192634834,Residential,184050.67865716064,1
43,sd,1,97.54145473527795,1,Democratic,European,Chinese,Republican & Independent,204181.2540072861,Residential,222792.25963689375,0
44,ny,1,53.212652506922986,0,Democratic,Likely African-American,Norwegian,Democratic,13250.95823548612,Residential,667988.0859625139,0
45,ca,0,87.83523817490445,0,Republican,European,English/Welsh,Democratic,38692.190675472775,Residential,18186.39132423536,0
46,ky,1,71.05103667890529,1,Republican,European,English/Welsh,Democratic & Independent,72640.42795730759,Residential,535566.9014702275,0
47,mi,1,20.750600683737517,0,Republican,Other,Polish,Independent,54706.48883993722,Residential,37566.34494697227,0
48,tx,1,39.98673259892623,1,Republican,European,Bangladeshi,Independent,93951.72575102639,Unknown,71268.3544498762,0
49,il,1,31.66231560285107,1,Democratic,Hispanic and Portuguese,German,Democratic & Independent,58312.26391257475,Apartment,14918.831608846158,0
50,ga,0,80.13279586893792,0,Democratic,Likely African-American,Polish,Democratic,68861.51176384231,Condominium,166805.6282088273,0
51,tx,1,27.950950915366853,1,Republican,Likely African-American,English/Welsh,Democratic,43465.51200210379,Apartment,131356.43695826046,0
52,ny,1,63.61708503827664,0,Republican,European,Likely Af-Am (Modeled),Democratic,48229.07669378304,Residential,5294.073401180998,0
53,fl,1,80.28860966597901,0,Peace and Freedom,European,English/Welsh,Independent,26782.806147533243,Unknown,389822.1694336858,0
54,ca,1,70.13100658402696,1,Republican,European,Korean,Independent,223693.0400171491,Residential,332574.2707110376,0
55,oh,1,49.95965011125147,1,Republican,European,French,Independent,226642.73262452608,Residential,306362.8024803412,0
56,nv,1,77.71636069994624,1,Non-Partisan,European,Italian,Democratic & Republican,211217.1293369703,Residential,4140.531557230963,0
57,mn,0,55.29997136014078,1,Non-Partisan,European,Hispanic,Independent,30173.014417002167,Residential,105901.64535618827,0
58,ca,0,86.80288310270213,0,Republican,Likely African-American,English/Welsh,Independent,98925.65920177966,Residential,107203.44696982333,1
59,ma,0,20.407450347588476,0,Republican,East and South Asian,English/Welsh,Democratic,260377.27531574282,Residential,1107779.1472085253,0
60,fl,1,22.738735969381136,0,Non-Partisan,Likely African-American,English/Welsh,Republican,148048.62796977515,Duplex,835815.6508974365,0
61,or,1,43.07365325269468,1,Republican,Hispanic and Portuguese,Hispanic,Democratic,59174.72209837699,Residential,-30709.61068408478,0
62,nj,1,81.39053214046601,1,Republican,Hispanic and Portuguese,English/Welsh,Democratic,153593.0812912224,Residential,55716.479319504986,0
63,ca,0,52.04267636609325,1,Non-Partisan,Likely African-American,Scots,Democratic,99045.70993191224,Apartment,288162.8929198551,0
64,al,1,66.34368788458764,0,Democratic,European,English/Welsh,Democratic,108375.73361562777,Residential,214432.67132497276,0
65,nj,1,23.68045908809882,1,Republican,European,Scots,Democratic,39375.25126930736,Apartment,35051.95692694775,1
66,ga,1,37.83259684862699,1,Republican,European,Irish,Democratic,65473.98538800236,Unknown,470545.1983430977,0
67,pa,0,43.02810745160749,0,Democratic,European,Scots,Democratic,62570.36773563899,Residential,1844832.6085218405,0
68,al,1,81.02947690229999,0,Democratic,Hispanic and Portuguese,English/Welsh,Republican,169230.93376284456,Residential,277116.657234638,0
69,mi,1,75.18328771842219,1,Republican,European,English/Welsh,Independent,147514.24569196775,Apartment,431772.0276760947,0
70,fl,1,57.084747723230635,0,Republican,European,Likely Af-Am (Modeled),Democratic,153440.06103858424,Residential,566258.4040995459,0
71,ma,0,24.40183061807274,0,Non-Partisan,European,Likely Af-Am (Modeled),Democratic,165027.9488067351,Residential,39582.12443551497,0
72,il,1,74.91203798701267,0,Republican,European,Swiss,Democratic,146710.2631370252,Residential,202876.25989469612,0
73,mi,1,23.278334822833195,1,Republican,Other,African or Af-Am Self Reported,Republican & Independent,30965.068331379764,Residential,56743.49346596329,0
74,ca,1,57.249195177140734,1,Republican,European,Indian/Hindu,Democratic,260887.71157666185,Residential,16583.77386606962,0
75,il,0,27.891403740675795,1,Conservative,Other,Norwegian,Independent,194725.96045078445,Residential,18713.000067557878,0
76,mi,0,98.99903716766603,0,American Independent,European,German,Republican & Independent,41748.96664125823,Residential,33061.19370737401,0
77,nh,1,50.084755405327186,1,Democratic,European,English/Welsh,Independent,102742.25714057159,Residential,-43117.04149239145,0
78,ri,1,74.7499517494177,1,Non-Partisan,European,Italian,Independent,124963.23400062775,Condominium,41913.520193662946,0
79,pa,1,53.05736765390026,1,Republican,European,Hispanic,Republican,62639.092021090066,Residential,31037.2961642258,1
80,ca,1,34.289394203149755,1,Republican,European,English/Welsh,Independent,193409.17203547093,Residential,32543.360971900314,0
