,state,voted,calculated_age,Voters_Gender,Parties_Description,EthnicGroups_EthnicGroup1Desc,Ethnic_Description,Residence_HHParties_Description,CommercialData_EstimatedIncomeAmount,CommercialData_PropertyType,CommercialData_EstHomeValue,nonpartisan_donation,row_index
0,fl,1,72.0,1,Republican,European,French,Republican,36999.0,Residential,87500.0,1,284480
1,fl,0,41.0,1,Democratic,Likely African-American,African or Af-Am Self Reported,Democratic,70516.0,Apartment,178543.0,0,151754
2,ms,0,,0,Non-Partisan,European,German,Independent,10000.0,Residential,195416.0,0,305214
3,mi,1,58.0,0,Republican,European,Irish,Republican,145000.0,Residential,332546.0,0,326600
4,ca,1,83.0,1,Democratic,European,English/Welsh,Democratic,21000.0,Mobil Home,107488.0,1,402751
5,ny,0,33.0,1,Republican,European,Italian,Republican,40000.0,Apartment,134552.0,0,131052
6,pa,1,38.0,1,Democratic,European,German,Democratic,82000.0,Residential,262052.0,0,252125
7,al,1,34.0,1,Republican,European,English/Welsh,Republican,90000.0,Residential,246782.0,1,299174
8,nj,0,31.0,0,Non-Partisan,European,Italian,Independent,82854.0,Unknown,266070.0,1,6350
9,la,1,44.0,0,Republican,Likely African-American,African or Af-Am Self Reported,Republican & Independent,59000.0,Residential,258610.0,0,354665
10,tn,1,58.0,0,Non-Partisan,European,English/Welsh,Republican & Independent,113000.0,Residential,208203.0,0,301479
11,pa,1,72.0,1,Republican,European,Polish,Republican,49000.0,Residential,190718.0,1,248640
12,ky,1,58.0,0,Republican,European,English/Welsh,Democratic & Republican,59507.0,Unknown,103479.0,0,47520
13,nh,1,51.0,1,Republican,European,English/Welsh,Republican & Independent,165000.0,Residential,219518.0,1,228388
14,ok,0,53.0,1,Non-Partisan,,,Independent,47000.0,Residential,156025.0,0,77183
15,az,1,59.0,1,Democratic,European,English/Welsh,Democratic,,Apartment,,0,200152
16,ga,1,49.0,1,Republican,European,English/Welsh,Republican,22000.0,Residential,79544.0,1,284495
17,ga,1,36.0,0,Non-Partisan,Other,Arab,Independent,250000.0,Residential,377697.0,0,28543
18,az,0,36.0,0,Democratic,Other,Persian,Democratic,120000.0,Apartment,342926.0,0,200564
19,va,1,80.0,0,Republican,East and South Asian,Thai,Republican,,Residential,87500.0,0,264974
20,ca,0,45.0,0,Republican,European,English/Welsh,Republican & Independent,117000.0,Residential,584576.0,0,396378
21,wi,0,44.0,0,Republican,European,German,Republican,73000.0,Residential,204144.0,0,335178
22,ca,1,32.0,0,Democratic,Hispanic and Portuguese,Hispanic,Democratic,43749.0,Unknown,224999.0,0,105756
23,oh,1,65.0,0,Republican,European,English/Welsh,Republican,25000.0,Residential,110918.0,1,311702
24,al,1,60.0,0,Republican,European,English/Welsh,Democratic & Republican,52631.0,Residential,137404.0,0,298470
25,nh,0,,1,Republican,,,Republican,107428.0,Unknown,281450.0,0,2085
26,il,1,37.0,0,Non-Partisan,European,English/Welsh,Independent,50640.0,Unknown,31547.0,0,67253
27,ga,1,64.0,0,Republican,European,English/Welsh,Republican,77000.0,Residential,94230.0,0,282457
28,fl,1,52.0,0,Republican,European,Italian,Republican,141000.0,Residential,449263.0,0,286219
29,ky,0,24.0,1,Republican,European,English/Welsh,Republican,83000.0,Residential,207338.0,0,308643
30,tx,1,22.0,1,Democratic,Hispanic and Portuguese,Hispanic,Democratic,112643.0,Apartment,259070.0,0,194473
31,tx,1,29.0,1,Democratic,Likely African-American,Likely Af-Am (Modeled),Democratic,12058.0,Apartment,188028.0,0,189476
32,az,0,64.0,0,Democratic,East and South Asian,Japanese,Democratic & Independent,86000.0,Residential,275415.0,0,383475
33,co,1,32.0,1,Republican,European,English/Welsh,Republican,60000.0,Residential,157328.0,0,378932
34,ny,0,69.0,0,Democratic,,,Democratic,115681.0,Apartment,321357.0,0,123775
35,mn,1,73.0,0,Republican,European,Irish,Republican,69258.0,Apartment,173749.0,0,176809
36,me,1,47.0,1,Republican,European,English/Welsh,Republican,127000.0,Residential,131573.0,0,2857
37,ny,1,18.0,1,Republican,European,German,Republican,132000.0,Residential,198943.0,0,243278
38,oh,0,48.0,1,Republican,,,Republican,61826.0,Residential,112500.0,0,48980
39,ca,1,60.0,1,Republican,Hispanic and Portuguese,Hispanic,Republican,64000.0,Apartment,256249.0,0,212403
