,state,voted,calculated_age,Voters_Gender,Parties_Description,EthnicGroups_EthnicGroup1Desc,Ethnic_Description,Residence_HHParties_Description,CommercialData_EstimatedIncomeAmount,CommercialData_PropertyType,CommercialData_EstHomeValue,nonpartisan_donation,row_index
0,ok,1,33.0,1,Republican,European,German,Republican,169000.0,Residential,344221.0,0,359283
1,md,1,37.0,0,Non-Partisan,European,English/Welsh,Democratic & Independent,202000.0,Residential,423929.0,0,259504
2,mn,1,69.0,0,Republican,European,German,Republican,120000.0,Residential,267824.0,0,338395
3,tx,1,56.0,1,Democratic,European,English/Welsh,Democratic,86000.0,Residential,248166.0,0,365878
4,az,1,68.0,1,Democratic,European,German,Democratic,120000.0,Residential,581205.0,0,384716
5,va,1,59.0,1,Democratic,European,French,Democratic & Republican,197000.0,Residential,556559.0,1,265960
6,tx,0,65.0,0,Democratic,Likely African-American,Likely Af-Am (Modeled),Democratic,129000.0,Apartment,141144.0,0,189425
7,ma,1,62.0,0,Republican,European,Italian,Republican,107000.0,Residential,425000.0,1,225221
8,fl,1,83.0,0,Non-Partisan,Likely African-American,African or Af-Am Self Reported,Independent,32390.0,Apartment,115239.0,0,153367
9,oh,1,76.0,1,Democratic,European,English/Welsh,Democratic & Republican,83252.0,Unknown,152026.0,0,51160
10,mn,1,69.0,1,Democratic,European,Irish,Democratic,136000.0,Residential,446043.0,0,338960
11,ny,0,57.0,1,Republican,European,Italian,Republican & Independent,100562.0,Apartment,319999.0,0,125385
12,pa,1,55.0,1,Democratic,European,Scots,Democratic,56000.0,Residential,267707.0,0,256570
13,ny,1,70.0,0,Democratic,European,English/Welsh,Democratic,61642.0,Residential,162500.0,1,245116
14,ut,1,38.0,1,Republican,European,English/Welsh,Republican,138000.0,Apartment,304573.0,0,198516
15,tx,1,20.0,0,Democratic,Hispanic and Portuguese,Hispanic,Democratic,53332.0,Unknown,103303.0,0,81681
16,ar,0,52.0,1,Non-Partisan,European,English/Welsh,Independent,43000.0,Residential,63570.0,0,356888
17,wi,1,69.0,1,Non-Partisan,European,German,Independent,246640.0,Residential,625000.0,1,332925
18,ny,1,24.0,1,Non-Partisan,,,Independent,131000.0,Residential,164698.0,0,247480
19,il,1,50.0,1,Independence,European,Italian,Independent,94877.0,Residential,212500.0,0,342303
20,mo,1,47.0,0,Republican,European,German,Republican,116000.0,Residential,205040.0,0,351968
21,ca,1,70.0,0,Republican,European,English/Welsh,Republican,68000.0,Residential,291622.0,1,404733
22,ct,1,44.0,0,Non-Partisan,European,Italian,Independent,250000.0,Residential,379424.0,0,232976
23,ny,1,34.0,1,Democratic,European,Irish,Democratic & Republican,38000.0,Residential,120558.0,0,247172
24,nc,1,77.0,0,Republican,European,English/Welsh,Republican,70000.0,Residential,299029.0,1,268895
25,ny,0,72.0,0,Republican,European,English/Welsh,Republican,162000.0,Residential,223414.0,1,244562
26,tx,0,31.0,1,Democratic,Likely African-American,Likely Af-Am (Modeled),Democratic,54000.0,Residential,105592.0,0,362943
27,tn,1,38.0,0,Republican,European,German,Republican,78000.0,Residential,203525.0,1,302512
28,mo,1,71.0,0,Republican,European,Irish,Republican,93216.0,Residential,322445.0,0,349114
29,tx,0,26.0,0,Democratic,Hispanic and Portuguese,Hispanic,Democratic,41000.0,Mobil Home,27217.0,0,82778
30,ny,0,55.0,0,Non-Partisan,European,Greek,Independent,71999.0,Apartment,325000.0,0,125271
31,va,0,79.0,0,Democratic,European,Scots,Democratic,27000.0,Residential,176576.0,0,19905
32,il,1,28.0,1,Non-Partisan,East and South Asian,Chinese,Independent,61000.0,Apartment,445889.0,0,181135
33,az,1,82.0,1,Non-Partisan,European,English/Welsh,Independent,,Apartment,,0,200125
34,wa,1,21.0,0,Democratic,Hispanic and Portuguese,Hispanic,Democratic,104386.0,Residential,455448.0,0,109029
35,nj,1,26.0,0,Democratic,,,Democratic,29000.0,Residential,358114.0,0,238352
36,mi,1,74.0,1,Republican,European,English/Welsh,Republican,28000.0,Apartment,145249.0,0,172616
37,va,1,36.0,0,Democratic,Likely African-American,Likely Af-Am (Modeled),Democratic,90000.0,Residential,381101.0,1,265838
38,mi,1,89.0,1,Democratic,European,English/Welsh,Democratic,59000.0,Residential,357409.0,0,327949
39,wi,1,30.0,0,Non-Partisan,,,Independent,53709.0,Unknown,105456.0,0,60846
40,id,1,56.0,1,Republican,European,English/Welsh,Republican,126000.0,Residential,137500.0,0,379541
41,fl,0,70.0,0,Democratic,European,French,Democratic,53000.0,Residential,343659.0,0,291011
42,mi,0,77.0,0,Democratic,European,Dutch (Netherlands),Democratic,25000.0,Apartment,53141.0,0,171664
43,ga,0,29.0,1,Democratic,Likely African-American,African or Af-Am Self Reported,Democratic & Independent,66028.0,Residential,161933.0,0,30974
44,md,0,25.0,1,Non-Partisan,European,English/Welsh,Independent,131000.0,Residential,227358.0,0,17059
45,ny,1,55.0,0,Democratic,European,English/Welsh,Democratic,220951.0,Apartment,625000.0,0,122622
46,nc,1,61.0,0,Republican,European,Dutch (Netherlands),Republican & Independent,86110.0,Unknown,187500.0,0,269219
47,il,0,22.0,0,Non-Partisan,East and South Asian,Chinese,Democratic & Independent,205187.0,Residential,875000.0,0,345862
48,ky,1,35.0,0,Republican,European,Irish,Democratic & Republican,106000.0,Duplex,,0,46168
49,pa,1,28.0,1,Non-Partisan,European,English/Welsh,Independent,61000.0,Apartment,307142.0,0,135868
50,fl,1,33.0,0,Democratic,Likely African-American,African or Af-Am Self Reported,Democratic,63407.0,Unknown,154852.0,0,37113
51,fl,0,23.0,0,Non-Partisan,Likely African-American,African or Af-Am Self Reported,Democratic & Independent,81433.0,Apartment,291363.0,0,151710
52,il,0,58.0,0,Republican,European,English/Welsh,Republican & Independent,98000.0,Residential,241267.0,0,347383
53,ca,1,37.0,0,Democratic,European,Italian,Democratic,,Apartment,,0,203988
54,az,1,50.0,1,Democratic,East and South Asian,Indian/Hindu,Democratic,199000.0,Residential,505589.0,0,382441
55,ct,1,19.0,0,Republican,European,German,Republican,143000.0,Residential,290408.0,0,231616
56,in,1,37.0,1,Democratic,Likely African-American,Likely Af-Am (Modeled),Democratic,54332.0,Unknown,66780.0,0,52210
57,il,1,54.0,0,Republican,European,English/Welsh,Republican & Independent,93000.0,Residential,279502.0,0,346066
58,ia,1,58.0,1,Republican,,,Republican,110000.0,Residential,166557.0,0,331643
59,ca,1,40.0,0,Republican,European,English/Welsh,Republican & Independent,53000.0,Residential,336034.0,0,403775
60,az,1,45.0,1,Democratic,European,Scots,Democratic & Republican,177000.0,Residential,284880.0,0,384635
61,ga,1,71.0,1,Democratic,Likely African-American,Likely Af-Am (Modeled),Democratic,93000.0,Residential,188984.0,1,278334
62,az,1,55.0,1,Republican,European,Irish,Republican & Independent,250000.0,Residential,545377.0,0,385060
63,sc,1,70.0,0,Republican,European,English/Welsh,Republican,96000.0,Residential,208473.0,0,25509
64,ma,1,71.0,1,Non-Partisan,European,English/Welsh,Independent,87000.0,Residential,324543.0,0,227185
65,il,1,46.0,1,Republican,European,English/Welsh,Democratic & Republican,70000.0,Residential,141099.0,0,347517
66,il,1,69.0,1,Democratic,Likely African-American,Likely Af-Am (Modeled),Democratic,56102.0,Apartment,216666.0,0,180121
67,nj,1,54.0,1,Democratic,European,Italian,Democratic,193000.0,Residential,836521.0,1,235455
68,nc,1,30.0,1,Non-Partisan,European,English/Welsh,Independent,209000.0,Residential,249770.0,0,272034
69,mo,0,50.0,0,Non-Partisan,European,English/Welsh,Independent,73000.0,Residential,62500.0,0,352489
70,tx,0,19.0,1,Democratic,European,Irish,Democratic,203000.0,Residential,445148.0,0,77740
71,ks,1,44.0,1,Republican,European,Italian,Republican,73611.0,Residential,153146.0,0,352837
72,nj,0,72.0,1,Non-Partisan,Hispanic and Portuguese,Hispanic,Independent,46000.0,Triplex,287523.0,0,237864
73,al,1,40.0,1,Non-Partisan,European,Irish,Independent,66000.0,Residential,203773.0,0,298956
74,il,1,74.0,0,Republican,European,English/Welsh,Democratic & Republican,57000.0,Residential,169129.0,1,346883
75,mi,1,60.0,0,Republican,European,English/Welsh,Republican,95000.0,Residential,215065.0,1,327354
76,wy,0,23.0,1,Democratic,European,German,Democratic & Republican,96000.0,Residential,309049.0,0,379014
77,tx,1,55.0,0,Democratic,Likely African-American,Likely Af-Am (Modeled),Democratic,70000.0,Residential,133980.0,0,362303
78,va,1,80.0,0,Republican,European,English/Welsh,Republican,23000.0,Residential,150794.0,0,266529
79,tx,1,39.0,0,Republican,,,Republican,64131.0,Unknown,136606.0,0,80860
80,pa,1,57.0,1,Democratic,Hispanic and Portuguese,Hispanic,Democratic,102627.0,Residential,383769.0,1,254409
81,ca,1,32.0,0,Republican,European,Italian,Republican,243000.0,Apartment,1041450.0,0,205981
82,fl,1,72.0,0,Non-Partisan,Hispanic and Portuguese,Hispanic,Independent,250000.0,Residential,289414.0,0,291069
83,ca,1,20.0,0,Non-Partisan,Hispanic and Portuguese,Hispanic,Independent,9000.0,Residential,134453.0,0,99348
84,pa,1,90.0,0,Democratic,European,Italian,Democratic,64890.0,Residential,62500.0,1,249646
85,ca,1,19.0,1,Democratic,European,English/Welsh,Democratic,146000.0,Apartment,790624.0,0,207438
86,co,1,74.0,0,Democratic,Likely African-American,Likely Af-Am (Modeled),Democratic,85000.0,Apartment,372657.0,0,196085
87,wv,1,51.0,1,Republican,European,English/Welsh,Republican,29000.0,Apartment,37500.0,0,142856
88,pa,1,61.0,1,Republican,European,Polish,Republican,52000.0,Apartment,79499.0,0,134110
89,wi,0,,0,Non-Partisan,European,French,Independent,68975.0,Apartment,192856.0,0,173283
90,sc,1,53.0,1,Democratic,European,English/Welsh,Democratic,137801.0,Unknown,472399.0,0,26592
91,tx,1,40.0,1,Democratic,Likely African-American,Likely Af-Am (Modeled),Democratic,144000.0,Residential,442018.0,1,365611
92,ct,1,53.0,1,Democratic,European,German,Democratic & Independent,174000.0,Residential,616244.0,0,232087
93,ma,1,49.0,0,Non-Partisan,,,Independent,92000.0,Residential,257777.0,1,223327
94,tx,1,83.0,0,Republican,,,Republican,39000.0,Residential,129717.0,1,367719
95,tx,0,52.0,1,Democratic,Hispanic and Portuguese,Hispanic,Democratic,38695.0,Residential,77836.0,1,374311
96,co,1,56.0,1,Non-Partisan,European,Swedish,Independent,149000.0,Residential,524646.0,0,376316
97,az,1,37.0,0,Republican,European,English/Welsh,Republican & Independent,102102.0,Residential,286026.0,0,91104
98,ca,1,26.0,1,Democratic,European,English/Welsh,Democratic,250000.0,Residential,4641335.0,0,102510
99,ca,1,79.0,0,Republican,European,Scots,Republican,30000.0,Apartment,375000.0,0,216536
100,ct,1,70.0,0,Democratic,European,French,Democratic,96195.0,Residential,187500.0,0,231929
101,ky,1,32.0,0,Democratic,European,English/Welsh,Democratic & Republican,110000.0,Residential,235039.0,0,308965
102,mo,1,68.0,0,Republican,European,English/Welsh,Republican,71746.0,Residential,173829.0,1,351727
103,ny,1,26.0,1,Working Family Party,Likely African-American,Likely Af-Am (Modeled),Independent,152000.0,Residential,497754.0,0,241446
104,fl,1,61.0,1,Republican,European,Italian,Republican,250000.0,Residential,616378.0,0,288085
105,vt,1,82.0,1,Democratic,European,Austrian,Democratic,34000.0,Mobil Home,196174.0,0,230192
106,ny,1,60.0,1,Democratic,European,English/Welsh,Democratic,102000.0,Residential,237362.0,1,246040
107,sd,1,59.0,0,Registered Independent,European,English/Welsh,Republican & Independent,149000.0,Residential,456104.0,1,339604
108,wa,1,24.0,1,Democratic,European,English/Welsh,Democratic & Republican,121000.0,Residential,406549.0,0,412816
109,ca,0,21.0,0,Republican,Hispanic and Portuguese,Hispanic,Republican & Independent,48000.0,Residential,476641.0,0,397486
110,ny,1,68.0,1,Republican,,,Democratic & Republican & Independent,90000.0,Apartment,1213150.0,0,123486
111,or,0,36.0,0,Democratic,European,English/Welsh,Democratic,139000.0,Residential,472871.0,0,406573
112,co,1,45.0,0,Democratic,European,Irish,Democratic,108262.0,Apartment,431734.0,0,197073
113,in,1,57.0,1,Democratic,Likely African-American,Likely Af-Am (Modeled),Democratic,56135.0,Unknown,84122.0,0,52808
114,ca,1,29.0,0,Non-Partisan,Hispanic and Portuguese,Hispanic,Democratic & Independent,42000.0,Residential,727733.0,0,396272
115,nc,1,66.0,0,Republican,European,English/Welsh,Republican,66457.0,Residential,329777.0,0,22966
116,tn,1,75.0,1,Democratic,European,English/Welsh,Democratic,42000.0,Residential,162500.0,0,304479
117,ca,1,23.0,0,Democratic,,,Democratic & Republican & Independent,112265.0,Residential,626051.0,0,95920
118,ny,1,24.0,0,Non-Partisan,Hispanic and Portuguese,Hispanic,Democratic & Independent,17000.0,Apartment,1020845.0,0,124717
119,oh,1,61.0,1,Republican,European,English/Welsh,Republican,95000.0,Residential,529653.0,1,312702
120,ny,1,31.0,1,Non-Partisan,European,Irish,Democratic & Independent,63000.0,Residential,164637.0,0,247283
121,ca,1,78.0,1,Democratic,Other,Filipino,Democratic & Independent,183430.0,Apartment,1200000.0,0,204775
122,va,0,54.0,0,Non-Partisan,,,Independent,,Apartment,,0,141085
123,nc,1,62.0,0,Democratic,Likely African-American,African or Af-Am Self Reported,Democratic & Independent,98000.0,Residential,206459.0,1,271161
124,sc,0,31.0,0,Democratic,Likely African-American,African or Af-Am Self Reported,Democratic,39000.0,Residential,132072.0,0,275116
125,la,0,37.0,1,Democratic,Likely African-American,African or Af-Am Self Reported,Democratic & Independent,88000.0,Apartment,134049.0,0,185904
126,ca,1,25.0,1,Non-Partisan,East and South Asian,Chinese,Democratic & Independent,250000.0,Residential,1569704.0,0,400074
127,ar,0,54.0,1,Democratic,European,English/Welsh,Democratic & Independent,11000.0,Duplex,100551.0,0,75412
128,ca,0,44.0,0,Non-Partisan,East and South Asian,Korean,Republican & Independent,96993.0,Residential,703153.0,0,388640
129,ca,1,69.0,1,Republican,East and South Asian,Vietnamese,Republican,160000.0,Apartment,399159.0,0,208189
130,fl,1,70.0,1,Democratic,European,French,Democratic & Republican,206000.0,Residential,351786.0,0,287489
131,mo,1,36.0,0,Republican,European,English/Welsh,Republican,70809.0,Unknown,187082.0,0,71147
132,ar,1,61.0,0,Non-Partisan,European,English/Welsh,Independent,14000.0,Residential,31064.0,0,357799
133,pa,1,38.0,0,Democratic,European,German,Democratic & Republican,97000.0,Residential,276901.0,1,252108
134,mo,0,25.0,0,Republican,European,English/Welsh,Republican,250000.0,Residential,371751.0,0,348899
135,mo,1,30.0,1,Non-Partisan,European,Irish,Independent,,Unknown,,0,71364
136,ca,1,61.0,0,Republican,European,German,Republican,250000.0,Residential,680969.0,0,100795
137,fl,1,71.0,0,Republican,East and South Asian,Chinese,Republican,250000.0,Residential,621640.0,1,291093
138,mn,1,71.0,1,Republican,European,French,Republican,70660.0,Residential,212180.0,0,62671
139,ny,1,63.0,1,Republican,East and South Asian,Indian/Hindu,Republican,81000.0,Residential,201925.0,1,243583
140,wa,1,69.0,1,Republican,,,Republican,90000.0,Residential,402825.0,0,411720
141,ca,1,55.0,1,Democratic,European,Slovenian,Democratic,128625.0,Unknown,590448.0,0,102459
142,tx,0,28.0,1,Republican,European,English/Welsh,Republican,102493.0,Unknown,188197.0,0,83444
143,mo,1,43.0,0,Republican,European,Irish,Republican,180000.0,Residential,453540.0,0,352459
144,ma,1,36.0,0,Non-Partisan,European,Italian,Independent,61000.0,Residential,232747.0,0,146
145,ca,1,38.0,0,Democratic,Hispanic and Portuguese,Hispanic,Democratic,178000.0,Residential,672111.0,0,390557
146,fl,1,57.0,0,Republican,European,Italian,Republican,42000.0,Residential,120097.0,1,296603
147,il,1,61.0,1,Non-Partisan,European,English/Welsh,Independent,100000.0,Residential,123130.0,0,348453
148,mi,1,22.0,1,Democratic,European,German,Democratic,46000.0,Residential,169443.0,0,56856
149,nc,1,75.0,1,Non-Partisan,European,French,Independent,24000.0,Residential,279869.0,0,22414
150,tx,0,67.0,0,Non-Partisan,European,English/Welsh,Independent,,Unknown,,0,82972
151,nj,1,22.0,0,Democratic,European,German,Democratic,109000.0,Residential,214916.0,0,236474
152,nj,1,63.0,0,Democratic,European,Italian,Democratic,94000.0,Residential,261117.0,1,236050
153,ga,1,38.0,0,Republican,Hispanic and Portuguese,Hispanic,Republican & Independent,19000.0,Apartment,89499.0,0,146735
154,wa,1,69.0,1,Democratic,European,English/Welsh,Democratic,14000.0,Residential,309999.0,0,412383
155,ny,1,54.0,1,Republican,European,English/Welsh,Republican,73376.0,Residential,162500.0,0,245625
156,ny,1,51.0,1,Republican,European,English/Welsh,Republican,116000.0,Residential,187132.0,1,247248
157,nc,0,23.0,0,Democratic,Likely African-American,African or Af-Am Self Reported,Democratic,21070.0,Apartment,159999.0,0,143965
158,ma,1,21.0,0,Non-Partisan,Likely African-American,Likely Af-Am (Modeled),Independent,40749.0,Residential,237500.0,0,723
159,in,0,22.0,1,Non-Partisan,European,English/Welsh,Independent,85000.0,Apartment,308213.0,0,167616
160,sc,1,66.0,0,Republican,European,Dutch (Netherlands),Republican,91596.0,Residential,237500.0,1,277779
161,nv,1,81.0,0,Republican,European,French,Republican,142000.0,Residential,565380.0,0,387374
