,state,voted,calculated_age,Voters_Gender,Parties_Description,EthnicGroups_EthnicGroup1Desc,Ethnic_Description,Residence_HHParties_Description,CommercialData_EstimatedIncomeAmount,CommercialData_PropertyType,CommercialData_EstHomeValue,nonpartisan_donation,row_index
0,ny,1,68.0,1,Democratic,Hispanic and Portuguese,Hispanic,Democratic,65956.0,Apartment,326925.0,0,125603
1,pa,1,33.0,0,Democratic,European,German,Democratic,129230.0,Residential,625000.0,0,248615
2,wv,1,37.0,1,Republican,European,English/Welsh,Republican,64000.0,Residential,115176.0,0,267685
3,ks,1,79.0,1,Democratic,European,Irish,Democratic,21000.0,Apartment,87500.0,1,185024
4,de,1,78.0,1,Non-Partisan,Likely African-American,Likely Af-Am (Modeled),Independent,87000.0,Residential,24072.0,1,257045
5,in,1,67.0,1,Republican,European,English/Welsh,Republican,54000.0,Apartment,123163.0,0,168439
6,wy,1,,0,Republican,European,English/Welsh,Republican,91226.0,Unknown,254607.0,0,88723
7,tx,1,43.0,0,Non-Partisan,,,Democratic & Independent,79761.0,Apartment,154911.0,0,190470
8,ga,1,70.0,1,Republican,European,Hungarian,Republican,53000.0,Residential,429230.0,0,281566
9,fl,0,19.0,0,Non-Partisan,Likely African-American,African or Af-Am Self Reported,Independent,67000.0,Residential,274328.0,0,292893
10,ca,1,93.0,1,Democratic,Likely African-American,Likely Af-Am (Modeled),Democratic,113152.0,Apartment,497426.0,0,204720
11,ga,0,29.0,1,Non-Partisan,Hispanic and Portuguese,Hispanic,Independent,,Unknown,,0,30434
12,wv,1,59.0,0,Republican,European,Polish,Republican,81000.0,Residential,319744.0,0,268095
13,al,1,50.0,0,Democratic,Likely African-American,African or Af-Am Self Reported,Democratic,49000.0,Residential,118053.0,0,298975
14,ga,1,55.0,1,Democratic,European,English/Welsh,Democratic,71000.0,Residential,125095.0,0,283170
15,il,1,53.0,1,Democratic,European,German,Democratic & Independent,149000.0,Residential,357039.0,1,343606
16,nm,1,83.0,0,Republican,European,English/Welsh,Republican,66000.0,Residential,201546.0,0,385425
17,ca,1,70.0,0,Republican,European,English/Welsh,Republican,142000.0,Residential,499339.0,0,404771
18,ca,1,31.0,1,Democratic,European,English/Welsh,Democratic,44000.0,Apartment,559523.0,0,203670
19,tx,1,59.0,1,Republican,,,Republican,46000.0,Residential,130088.0,1,85941
20,ca,1,66.0,0,Democratic,East and South Asian,Chinese,Democratic,22000.0,Apartment,511425.0,1,203471
21,wv,0,69.0,1,Democratic,European,English/Welsh,Democratic,25000.0,Residential,81124.0,0,267815
