,state,voted,calculated_age,Voters_Gender,Parties_Description,EthnicGroups_EthnicGroup1Desc,Ethnic_Description,Residence_HHParties_Description,CommercialData_EstimatedIncomeAmount,CommercialData_PropertyType,CommercialData_EstHomeValue,nonpartisan_donation,row_index
0,il,1,32.0,0,Non-Partisan,Other,Byelorussian,Independent,210000.0,Residential,312796.0,0,342256
1,tx,0,47.0,0,Republican,European,English/Welsh,Republican,117000.0,Residential,227363.0,0,372851
2,ks,0,52.0,1,Democratic,European,English/Welsh,Democratic,17000.0,Residential,62500.0,0,353794
3,ny,1,23.0,0,Democratic,Hispanic and Portuguese,Hispanic,Democratic,143603.0,Residential,631890.0,0,8426
4,ia,0,42.0,0,Democratic,European,English/Welsh,Democratic,123540.0,Residential,87500.0,0,58690
5,in,1,58.0,1,Democratic,European,English/Welsh,Democratic,85128.0,Unknown,112100.0,0,53123
6,wi,1,32.0,1,Republican,European,German,Republican,65000.0,Residential,257446.0,0,334495
7,in,1,29.0,0,Non-Partisan,European,English/Welsh,Democratic & Independent,100000.0,Residential,141421.0,0,320983
8,tx,1,35.0,0,Republican,European,English/Welsh,Republican,142000.0,Residential,224176.0,0,374915
9,nc,1,63.0,1,Non-Partisan,European,Italian,Independent,155405.0,Residential,287500.0,1,269590
10,oh,1,28.0,0,Democratic,Likely African-American,Likely Af-Am (Modeled),Democratic,43481.0,Apartment,66110.0,0,166806
11,nj,1,30.0,1,Democratic,East and South Asian,Chinese,Democratic,82203.0,Unknown,221303.0,0,6325
12,nj,1,21.0,1,Non-Partisan,European,German,Democratic & Independent,177000.0,Residential,704991.0,0,236068
13,ca,1,50.0,1,Republican,European,English/Welsh,Democratic & Republican,171000.0,Residential,394181.0,0,404344
14,pa,1,42.0,1,Democratic,East and South Asian,Indian/Hindu,Democratic,142000.0,Residential,362073.0,0,254988
15,tx,1,61.0,1,Republican,European,English/Welsh,Republican,96000.0,Residential,280820.0,0,367808
16,va,1,23.0,0,Democratic,European,English/Welsh,Democratic,59374.0,Residential,187500.0,0,17828
17,tx,1,21.0,0,Democratic,Hispanic and Portuguese,Hispanic,Democratic,43970.0,Apartment,63867.0,0,194380
18,ca,1,60.0,1,Republican,European,Scots,Republican,194000.0,Residential,959308.0,0,395376
19,tx,0,59.0,0,Democratic,Hispanic and Portuguese,Hispanic,Democratic,31487.0,Apartment,77867.0,0,191371
20,fl,1,45.0,1,Non-Partisan,Hispanic and Portuguese,Hispanic,Independent,58000.0,Residential,186328.0,0,295236
21,sc,1,73.0,1,Democratic,European,English/Welsh,Democratic,14000.0,Residential,237902.0,0,275400
22,fl,0,46.0,0,Republican,European,German,Republican,220000.0,Residential,369590.0,0,286784
23,ms,1,,1,Non-Partisan,European,English/Welsh,Republican & Independent,66000.0,Residential,227913.0,0,44140
24,pa,1,72.0,0,Republican,European,German,Republican,74000.0,Residential,162288.0,1,250912
25,mt,1,26.0,0,Non-Partisan,European,English/Welsh,Independent,81428.0,Apartment,293124.0,0,178444
26,ma,0,35.0,0,Democratic,European,English/Welsh,Democratic,85609.0,Unknown,333777.0,0,1155
27,va,1,71.0,1,Republican,European,Scots,Republican & Independent,93000.0,Residential,381439.0,0,265855
28,fl,1,81.0,0,Republican,Hispanic and Portuguese,Hispanic,Republican,34000.0,Condominium,391830.0,0,286461
29,pa,1,76.0,1,Republican,Likely African-American,Likely Af-Am (Modeled),Republican,18000.0,Duplex,12500.0,1,135461
30,al,1,62.0,0,Democratic,Likely African-American,African or Af-Am Self Reported,Democratic,41000.0,Apartment,125118.0,0,159173
31,il,0,17.0,1,Non-Partisan,European,Polish,Democratic & Independent,129210.0,Residential,386511.0,0,65279
32,ca,1,21.0,1,Non-Partisan,Hispanic and Portuguese,Hispanic,Independent,43416.0,Unknown,287499.0,0,104468
33,fl,1,59.0,0,Republican,East and South Asian,Portuguese,Republican,96000.0,Residential,310043.0,0,286793
34,pa,1,50.0,0,Democratic,Other,Croatian,Democratic & Independent,64000.0,Residential,108023.0,0,12847
35,il,1,25.0,0,Non-Partisan,European,Irish,Independent,70000.0,Residential,235865.0,0,342762
36,il,0,30.0,1,Non-Partisan,European,English/Welsh,Independent,76000.0,Residential,144252.0,0,348458
37,al,1,71.0,1,Republican,European,German,Republican,,Apartment,,0,159335
38,ca,1,57.0,1,Democratic,European,Scots,Democratic,250000.0,Residential,1541377.0,1,402356
39,oh,1,60.0,0,Republican,European,German,Republican,200000.0,Residential,290414.0,1,315305
40,pa,1,46.0,1,Democratic,European,German,Democratic,98249.0,Residential,287500.0,1,252185
41,ny,1,67.0,0,Republican,Likely African-American,Likely Af-Am (Modeled),Republican,76110.0,Apartment,394155.0,0,131409
42,va,1,62.0,1,Democratic,European,English/Welsh,Democratic,173000.0,Residential,761738.0,0,7053
43,tx,1,27.0,0,Democratic,Hispanic and Portuguese,Hispanic,Democratic & Republican,62141.0,Unknown,122080.0,0,78152
44,ky,0,65.0,0,Democratic,European,English/Welsh,Democratic,,Apartment,,0,163662
45,pa,1,37.0,1,Democratic,European,English/Welsh,Democratic,112000.0,Residential,65945.0,0,251550
46,mn,1,59.0,0,Republican,European,English/Welsh,Republican,118000.0,Residential,222553.0,0,62430
47,ca,0,35.0,0,Democratic,Hispanic and Portuguese,Hispanic,Democratic,37704.0,Unknown,188888.0,0,99777
48,tx,1,35.0,0,Democratic,European,Irish,Democratic,62000.0,Residential,163996.0,0,369315
49,pa,1,51.0,0,Republican,European,Polish,Democratic & Republican,76000.0,Residential,141035.0,0,249333
50,md,1,37.0,1,Republican,European,Italian,Republican,232000.0,Residential,368616.0,0,261719
51,ky,1,51.0,1,Republican,European,English/Welsh,Republican,69000.0,Residential,271514.0,0,308560
52,nc,1,43.0,1,Non-Partisan,East and South Asian,Japanese,Independent,148000.0,Residential,1364442.0,0,270826
53,pa,1,56.0,1,Democratic,European,Irish,Democratic,14000.0,Residential,241148.0,0,12810
54,ca,0,53.0,0,Non-Partisan,Hispanic and Portuguese,Hispanic,Democratic & Independent,144000.0,Apartment,811018.0,0,208543
55,ny,1,73.0,0,Democratic,Likely African-American,Likely Af-Am (Modeled),Democratic,44000.0,Residential,87500.0,0,244935
56,ca,1,31.0,1,Non-Partisan,European,Italian,Democratic & Independent,250000.0,Apartment,3490836.0,0,216895
57,or,1,35.0,0,Republican,European,English/Welsh,Republican,82000.0,Residential,674837.0,0,106845
58,hi,0,,0,Republican,European,English/Welsh,Republican,117000.0,Apartment,850448.0,0,217344
59,ak,0,86.0,1,Democratic,European,English/Welsh,Democratic,18000.0,Apartment,147188.0,0,222979
60,ca,1,77.0,0,Democratic,Hispanic and Portuguese,Hispanic,Democratic,36000.0,Residential,148986.0,0,397275
61,ma,1,30.0,1,Non-Partisan,European,Irish,Independent,123000.0,Residential,475000.0,0,336
62,tx,1,51.0,0,Democratic,European,English/Welsh,Democratic,84000.0,Residential,209858.0,0,366867
63,co,1,23.0,0,Republican,European,English/Welsh,Republican & Independent,65000.0,Residential,218170.0,0,378880
64,ny,1,36.0,0,Non-Partisan,European,German,Independent,27000.0,Triplex,424696.0,0,122403
65,ma,1,53.0,1,Democratic,Hispanic and Portuguese,Hispanic,Democratic,108000.0,Residential,305559.0,0,225123
66,oh,1,23.0,1,Non-Partisan,European,Swedish,Independent,,Apartment,,0,166876
67,vt,0,26.0,1,Non-Partisan,European,English/Welsh,Independent,8000.0,Apartment,,0,115716
68,ms,0,,0,Non-Partisan,European,English/Welsh,Independent,41249.0,Unknown,70183.0,0,44197
69,tx,1,33.0,0,Democratic,European,English/Welsh,Democratic,90000.0,Residential,96440.0,0,83880
70,ky,1,43.0,0,Democratic,European,German,Democratic,133000.0,Residential,254939.0,0,307947
71,ny,1,36.0,1,Non-Partisan,East and South Asian,Chinese,Democratic & Independent,,Apartment,,0,121106
72,nh,0,,0,Democratic,European,Italian,Democratic,,Apartment,,0,114929
73,ca,1,29.0,0,Democratic,European,Italian,Democratic,64392.0,Apartment,297999.0,0,203484
74,az,1,28.0,1,Republican,European,Swedish,Republican & Independent,77000.0,Residential,1231511.0,0,381809
75,sc,0,63.0,0,Democratic,Hispanic and Portuguese,Hispanic,Democratic,39399.0,Apartment,80249.0,0,145916
76,hi,1,,1,Non-Partisan,European,Italian,Independent,90556.0,Apartment,750247.0,0,217645
77,md,0,,0,Non-Partisan,Likely African-American,Likely Af-Am (Modeled),Independent,90315.0,Residential,312579.0,0,258395
78,ny,1,63.0,0,Republican,European,Irish,Republican,,Unknown,,0,8465
79,ak,1,57.0,0,Republican,European,German,Republican,104382.0,Residential,332319.0,1,413419
80,nv,1,21.0,1,Democratic,East and South Asian,Chinese,Democratic & Independent,127000.0,Residential,789774.0,0,386476
81,ny,1,33.0,1,Democratic,European,Irish,Democratic,91720.0,Apartment,429412.0,0,128919
82,ny,0,24.0,0,Non-Partisan,European,English/Welsh,Republican & Independent,229000.0,Residential,529666.0,0,9480
83,wi,1,84.0,1,Democratic,Likely African-American,Likely Af-Am (Modeled),Democratic,40000.0,Residential,180624.0,1,334909
84,wi,1,38.0,0,Republican,European,Polish,Republican,110452.0,Residential,290102.0,0,335493
85,mi,1,73.0,0,Democratic,European,German,Democratic,159000.0,Residential,345553.0,0,323875
86,de,0,41.0,0,Republican,Likely African-American,African or Af-Am Self Reported,Republican,72000.0,Residential,200536.0,0,257148
87,al,1,79.0,0,Republican,European,Polish,Republican,43000.0,Residential,148786.0,0,299365
88,ny,0,30.0,0,Independence,European,German,Independent,221153.0,Apartment,1375000.0,0,121356
89,oh,1,55.0,0,Republican,European,English/Welsh,Republican & Independent,71454.0,Residential,174286.0,1,317356
90,mi,1,77.0,0,Democratic,European,English/Welsh,Democratic,37000.0,Residential,132368.0,1,327337
91,mi,1,22.0,0,Democratic,European,English/Welsh,Democratic,63000.0,Residential,163553.0,0,54695
92,mi,1,49.0,1,Democratic,East and South Asian,Vietnamese,Democratic,72000.0,Residential,213419.0,0,323989
93,il,0,21.0,0,Democratic,Likely African-American,Likely Af-Am (Modeled),Democratic,33461.0,Apartment,104761.0,0,179966
94,il,1,29.0,0,Democratic,Hispanic and Portuguese,Hispanic,Democratic,96553.0,Apartment,286734.0,0,181136
95,mo,0,26.0,0,Non-Partisan,European,English/Welsh,Independent,7000.0,Apartment,171666.0,0,183811
96,nv,0,23.0,0,Non-Partisan,Hispanic and Portuguese,Hispanic,Democratic & Independent,79659.0,Apartment,205078.0,0,202117
97,az,1,49.0,1,Democratic,European,German,Democratic,250000.0,Residential,681805.0,0,92980
98,tx,1,20.0,0,Non-Partisan,European,English/Welsh,Independent,94000.0,Residential,309021.0,0,362733
99,il,0,97.0,1,Republican,European,Polish,Republican,120993.0,Apartment,287500.0,0,181989
100,al,1,42.0,0,Republican,European,English/Welsh,Republican,94000.0,Residential,60918.0,0,40920
101,ny,0,24.0,1,Non-Partisan,East and South Asian,Vietnamese,Democratic & Independent,72544.0,Residential,239285.0,0,9879
102,in,0,66.0,1,Democratic,Hispanic and Portuguese,Hispanic,Democratic,50528.0,Apartment,62500.0,0,167424
103,co,1,61.0,0,Democratic,European,English/Welsh,Democratic,156000.0,Condominium,287202.0,0,376178
104,il,1,72.0,0,Democratic,European,English/Welsh,Democratic & Independent,87000.0,Residential,200359.0,1,347876
105,oh,1,21.0,0,Non-Partisan,European,English/Welsh,Independent,250000.0,Residential,571714.0,0,314579
106,nj,0,32.0,1,Non-Partisan,European,German,Democratic & Independent,133000.0,Residential,264460.0,0,236879
107,nj,0,81.0,0,Non-Partisan,Likely African-American,Likely Af-Am (Modeled),Independent,56332.0,Apartment,272999.0,0,118322
108,tx,1,62.0,1,Democratic,East and South Asian,Vietnamese,Democratic,46155.0,Apartment,111704.0,0,187943
109,ca,1,29.0,0,Democratic,Hispanic and Portuguese,Hispanic,Democratic,,Apartment,,0,208399
110,tx,0,58.0,0,Democratic,Likely African-American,Likely Af-Am (Modeled),Democratic,64541.0,Apartment,138863.0,0,189890
111,wi,1,,1,Republican,European,French,Republican & Independent,112000.0,Residential,294678.0,0,332806
112,ga,1,25.0,0,Non-Partisan,,,Independent,48000.0,Residential,150577.0,0,282955
113,wa,1,47.0,0,Non-Partisan,European,Irish,Independent,102415.0,Unknown,403157.0,0,108819
114,il,1,21.0,1,Non-Partisan,,,Republican & Independent,250000.0,Apartment,647931.0,0,179331
115,ga,1,62.0,0,Democratic,Likely African-American,African or Af-Am Self Reported,Democratic,43499.0,Unknown,93332.0,0,31230
116,tx,1,32.0,0,Republican,Hispanic and Portuguese,Hispanic,Republican,66733.0,Residential,123200.0,0,81076
117,tx,1,51.0,0,Democratic,Likely African-American,Likely Af-Am (Modeled),Democratic,64000.0,Residential,297499.0,0,362450
118,fl,1,40.0,1,Republican,European,English/Welsh,Republican & Independent,62468.0,Unknown,184629.0,0,36153
119,de,1,33.0,0,Democratic,Likely African-American,Likely Af-Am (Modeled),Democratic,99000.0,Residential,310111.0,0,255442
120,ny,0,73.0,0,Non-Partisan,European,English/Welsh,Republican & Independent,59000.0,Residential,138976.0,1,244493
121,ga,1,58.0,1,Republican,European,English/Welsh,Republican & Independent,72000.0,Residential,299048.0,0,279413
122,il,1,28.0,1,Republican,European,English/Welsh,Republican & Independent,77000.0,Residential,111066.0,0,67447
123,ky,1,19.0,1,Republican,European,English/Welsh,Republican,59573.0,Apartment,117660.0,0,163269
124,va,1,33.0,1,Democratic,Likely African-American,Likely Af-Am (Modeled),Democratic,71851.0,Apartment,166249.0,0,141987
125,ca,0,56.0,0,Republican,European,Irish,Republican,65275.0,Unknown,153845.0,0,100917
126,il,1,61.0,1,Democratic,,,Democratic & Republican & Independent,229000.0,Residential,508552.0,0,345979
127,fl,1,72.0,1,Democratic,European,Polish,Democratic & Republican,40000.0,Residential,212500.0,0,289656
128,mn,1,57.0,1,Republican,European,English/Welsh,Republican,79000.0,Residential,295419.0,1,336715
129,nm,1,32.0,1,Democratic,Hispanic and Portuguese,Hispanic,Democratic & Independent,,Unknown,,0,93324
130,nc,1,71.0,1,Non-Partisan,European,English/Welsh,Independent,72653.0,Residential,287500.0,1,269566
131,fl,1,43.0,0,Republican,European,English/Welsh,Republican,,Apartment,,1,156877
132,nc,1,71.0,0,Republican,European,English/Welsh,Republican,119027.0,Residential,287404.0,0,22904
133,fl,1,39.0,1,Democratic,European,English/Welsh,Democratic,124000.0,Residential,644692.0,0,289138
134,mi,1,65.0,0,Democratic,European,Italian,Democratic,43000.0,Residential,223321.0,1,326807
135,fl,1,72.0,0,Democratic,European,English/Welsh,Democratic,24000.0,Condominium,298448.0,0,292898
136,az,1,68.0,0,Republican,East and South Asian,Chinese,Democratic & Republican,46422.0,Apartment,74443.0,0,199380
137,va,0,56.0,0,Democratic,European,Irish,Democratic,63141.0,Apartment,169073.0,0,142397
138,ky,1,21.0,0,Republican,European,English/Welsh,Republican,70516.0,Unknown,207378.0,0,46444
139,wi,1,47.0,1,Democratic,European,English/Welsh,Democratic,138000.0,Apartment,327513.0,0,173413
140,mn,1,18.0,0,Republican,European,English/Welsh,Republican,104000.0,Residential,277925.0,0,61816
141,ma,1,64.0,1,Non-Partisan,Hispanic and Portuguese,Portuguese,Independent,91957.0,Apartment,281514.0,0,112673
142,pa,1,59.0,0,Democratic,European,Italian,Democratic & Republican,88000.0,Residential,496172.0,1,252130
143,mo,1,19.0,1,Democratic,European,German,Democratic,115000.0,Residential,74304.0,0,71107
144,co,1,73.0,0,Republican,European,English/Welsh,Republican,12000.0,Residential,320153.0,1,376934
145,mo,0,54.0,1,Non-Partisan,European,English/Welsh,Independent,43268.0,Apartment,123332.0,0,184480
146,fl,1,57.0,1,Democratic,Likely African-American,African or Af-Am Self Reported,Democratic,136000.0,Residential,388070.0,0,290936
