"","state","voted","calculated_age","Voters_Gender","Parties_Description","EthnicGroups_EthnicGroup1Desc","Residence_HHParties_Description","CommercialData_EstimatedIncomeAmount","CommercialData_PropertyType","CommercialData_EstHomeValue","nonpartisan_donation"
"1","ca","1",28,"0","Democratic","Hispanic and Portuguese","Democratic & Independent",133111,"Residential",459728,"0"
"2","tx","0",55,"1","Non-Partisan","Hispanic and Portuguese","Independent",30207,"Residential",101065,"0"
"3","mi","1",49,"1","Democratic","European","Democratic",47000,"Unknown",150970,"0"
"4","ca","1",60,"1","Democratic","European","Democratic & Independent",163000,"Unknown",2392924,"0"
"5","mi","0",68,"1","Non-Partisan","Likely African-American","Independent",24000,"Residential",112500,"0"
"6","co","1",30,"0","Republican","European","Republican",194000,"Residential",865195,"0"
"7","md","1",27,"0","Democratic","Likely African-American","Democratic",135000,"Residential",319989,"0"
"8","ca","1",35,"1","Republican","East and South Asian","Republican & Independent",157000,"Residential",434693,"0"
"9","ca","0",34,"0","Democratic","Likely African-American","Democratic",30000,"Residential",143032,"0"
"10","ok","1",24,"0","Non-Partisan","European","Republican & Independent",250000,"Residential",795406,"0"
"11","sc","0",44,"1","Democratic","Likely African-American","Independent",21000,"Residential",47499,"0"
"12","ca","1",62,"0","Democratic","Other","Democratic",233000,"Residential",1209532,"0"
"13","tx","0",32,"0","Non-Partisan","European","Democratic & Independent",137499,"Residential",112500,"0"
"14","az","1",60,"0","Republican","European","Republican",141934,"Residential",324999,"0"
"15","il","1",61,"1","Democratic","Hispanic and Portuguese","Democratic",7000,"Residential",376149,"1"
"16","mn","0",28,"1","Non-Partisan","European","Republican & Independent",96000,"Residential",166249,"0"
"17","tx","0",29,"1","Democratic","Hispanic and Portuguese","Democratic",57499,"Apartment",137500,"0"
"18","ok","1",33,"1","Democratic","European","Democratic & Republican",41000,"Unknown",162500,"0"
"19","fl","1",41,"1","Democratic","Hispanic and Portuguese","Democratic",43000,"Residential",87500,"0"
"20","nc","0",65,"0","Non-Partisan","European","Independent",46000,"Residential",151162,"0"
"21","oh","1",61,"1","Republican","European","Republican",14000,"Residential",74782,"1"
"22","ca","0",44,"0","Democratic","","Democratic",NA,"Apartment",NA,"0"
"23","wv","1",75,"1","Democratic","European","Democratic",55562,"Residential",184483,"1"
"24","co","0",38,"0","Non-Partisan","","Independent",120000,"Unknown",252960,"0"
"25","ny","1",70,"0","Republican","European","Democratic & Republican & Independent",63000,"Residential",108009,"1"
"26","ia","1",66,"0","Non-Partisan","European","Independent",89939,"Residential",87500,"0"
"27","ny","0",25,"0","Democratic","Likely African-American","Democratic",56374,"Unknown",156451,"0"
"28","az","0",30,"0","Republican","European","Republican",24000,"Apartment",327197,"0"
"29","nc","1",66,"1","Republican","","Republican",128304,"Residential",260713,"0"
"30","fl","1",63,"0","Democratic","Likely African-American","Democratic & Independent",18000,"Residential",275385,"0"
"31","mn","1",49,"1","Democratic","European","Democratic",73000,"Apartment",249218,"0"
"32","mi","1",66,"1","Non-Partisan","European","Independent",121000,"Residential",220676,"0"
"33","or","1",35,"1","Non-Partisan","Hispanic and Portuguese","Independent",76000,"Residential",175205,"0"
"34","ok","1",21,"0","Democratic","European","Democratic",67094,"Residential",237500,"0"
"35","or","1",19,"0","Democratic","European","Democratic",92000,"Apartment",274192,"0"
"36","tx","1",30,"0","Democratic","","Democratic",238000,"Residential",1666455,"0"
"37","tx","1",44,"1","Democratic","Likely African-American","Democratic",52452,"Apartment",136110,"0"
"38","tn","0",62,"1","Republican","European","Republican",141000,"Apartment",334258,"0"
"39","ok","1",90,"0","Republican","European","Republican",82000,"Residential",208258,"1"
"40","ca","1",42,"0","Non-Partisan","Hispanic and Portuguese","Independent",114499,"Apartment",642063,"0"
"41","va","1",80,"1","Democratic","","Democratic & Republican",83000,"Condominium",126909,"0"
"42","ri","0",49,"1","Non-Partisan","Hispanic and Portuguese","Independent",51777,"Residential",355460,"0"
"43","va","1",57,"1","Democratic","European","Democratic",194000,"Residential",538949,"0"
"44","tx","1",81,"0","Republican","European","Republican",82142,"Residential",154448,"0"
"45","mi","1",56,"1","Democratic","European","Democratic",40587,"Residential",87500,"1"
"46","ca","1",63,"0","Republican","European","Republican",63822,"Residential",476677,"1"
"47","ky","1",30,"0","Republican","European","Republican",89000,"Triplex",399807,"0"
"48","fl","1",44,"1","Non-Partisan","Hispanic and Portuguese","Democratic & Independent",149000,"Residential",153078,"0"
"49","ky","0",78,"1","Republican","European","Republican",70131,"Residential",188072,"0"
"50","wv","1",36,"0","Republican","European","Democratic & Republican",183000,"Residential",233902,"0"
"51","mn","1",37,"0","Republican","European","Republican",206442,"Residential",602871,"0"
"52","mo","1",30,"0","Republican","European","Republican",33046,"Apartment",137500,"0"
"53","or","1",77,"1","Democratic","","Democratic",95312,"Apartment",259941,"1"
"54","ga","1",45,"1","Democratic","Likely African-American","Democratic",81000,"Residential",143993,"1"
"55","ca","1",85,"0","Republican","European","Republican",151907,"Residential",819186,"1"
"56","tx","1",49,"0","Republican","European","Republican",250000,"Residential",638760,"0"
