"","state","voted","calculated_age","Voters_Gender","Parties_Description","EthnicGroups_EthnicGroup1Desc","Residence_HHParties_Description","CommercialData_EstimatedIncomeAmount","CommercialData_PropertyType","CommercialData_EstHomeValue","nonpartisan_donation"
"1","ky","1",33,"0","Democratic","European","Democratic & Independent",103000,"Residential",360390,"0"
"2","in","1",79,"0","Republican","European","Republican",8000,"Apartment",12500,"0"
"3","wi","1",78,"1","Democratic","European","Democratic",47000,"Residential",169642,"1"
"4","va","1",72,"1","Republican","European","Republican",106000,"Residential",185566,"0"
"5","ny","1",59,"1","Republican","European","Republican",48124,"Residential",227384,"1"
"6","ny","1",23,"0","Democratic","Hispanic and Portuguese","Democratic",91000,"Apartment",625000,"0"
"7","mi","1",79,"1","Republican","European","Republican",91000,"Residential",252816,"1"
"8","vt","1",28,"0","Non-Partisan","European","Independent",NA,"Apartment",NA,"0"
"9","va","1",55,"0","Democratic","Likely African-American","Democratic",34000,"Apartment",447958,"0"
"10","ca","0",37,"1","Non-Partisan","European","Republican & Independent",80000,"Unknown",237500,"0"
"11","ak","0",NA,"0","Unknown","","Independent",42000,"Apartment",118837,"0"
"12","fl","1",74,"0","Republican","European","Republican",142000,"Residential",519110,"0"
"13","ca","0",69,"1","American Independent","European","Independent",NA,"Apartment",NA,"0"
"14","ks","1",40,"1","Republican","European","Republican",133000,"Residential",142443,"0"
"15","ga","1",53,"0","Democratic","Likely African-American","Democratic",228000,"Residential",1153845,"0"
"16","va","0",50,"1","Non-Partisan","European","Independent",117000,"Apartment",138941,"0"
"17","pa","1",38,"0","Democratic","Likely African-American","Democratic",NA,"Unknown",74553,"0"
"18","pa","1",60,"1","Republican","European","Democratic & Republican",37000,"Residential",84999,"1"
"19","il","1",64,"1","Non-Partisan","","Republican & Independent",53000,"Residential",237500,"0"
"20","mn","1",35,"1","Republican","European","Republican",217020,"Residential",149264,"0"
"21","wi","1",71,"1","Democratic","Likely African-American","Democratic",156527,"Residential",242346,"0"
"22","oh","1",48,"0","Non-Partisan","European","Democratic & Independent",206442,"Residential",311110,"0"
"23","wv","1",53,"1","Republican","European","Republican",101000,"Residential",103744,"0"
"24","nc","1",64,"0","Democratic","European","Democratic",20000,"Residential",95713,"1"
"25","ny","1",57,"0","Republican","European","Republican",89138,"Apartment",669506,"0"
"26","mn","1",37,"0","Non-Partisan","European","Independent",231000,"Residential",542526,"0"
"27","il","1",20,"0","Non-Partisan","European","Independent",54947,"Residential",167823,"0"
"28","ma","0",35,"0","Democratic","European","Democratic & Independent",78798,"Unknown",343636,"0"
"29","dc","0",NA,"0","Democratic","Likely African-American","Democratic",83533,"Residential",194117,"0"
"30","wy","1",NA,"1","Democratic","Hispanic and Portuguese","Democratic",50000,"Unknown",149442,"0"
"31","tx","1",40,"1","Republican","European","Republican",191000,"Residential",129582,"1"
"32","oh","1",41,"1","Republican","European","Republican",237345,"Residential",790815,"0"
"33","co","1",49,"1","Non-Partisan","European","Democratic & Independent",101000,"Residential",NA,"0"
"34","ny","1",82,"1","Republican","Hispanic and Portuguese","Republican",84000,"Residential",287584,"1"
"35","in","1",34,"0","Democratic","European","Democratic",53000,"Unknown",200819,"0"
"36","nj","1",38,"1","Democratic","Hispanic and Portuguese","Democratic",68716,"Apartment",204687,"0"
"37","nc","1",56,"0","Republican","European","Republican",82040,"Residential",213222,"1"
"38","ny","1",78,"1","Democratic","European","Democratic",51249,"Apartment",268246,"0"
"39","ny","1",51,"1","Non-Partisan","European","Independent",84134,"Apartment",277822,"0"
"40","pa","1",27,"0","Democratic","","Democratic & Republican",14000,"Residential",120697,"0"
"41","ms","0",NA,"1","Democratic","Likely African-American","Democratic",81168,"Unknown",144122,"0"
"42","ut","0",26,"0","American Independent","European","Republican & Independent",131000,"Residential",583101,"0"
"43","fl","1",35,"1","Republican","European","Republican",129000,"Residential",267329,"0"
"44","wa","1",60,"1","Republican","European","Republican",48610,"Residential",358678,"1"
"45","tx","0",31,"0","Non-Partisan","European","Independent",48025,"Unknown",NA,"0"
"46","ga","1",66,"1","Republican","European","Republican",250000,"Residential",510957,"0"
"47","sc","0",21,"1","Democratic","Likely African-American","Democratic",23000,"Residential",49068,"0"
"48","il","1",63,"1","Non-Partisan","","Independent",127000,"Residential",492104,"1"
"49","wa","1",60,"0","Democratic","European","Democratic",59629,"Residential",287500,"0"
"50","ca","1",27,"0","Democratic","Hispanic and Portuguese","Democratic",90000,"Apartment",534102,"0"
"51","az","1",69,"1","Democratic","European","Democratic",69000,"Residential",219397,"0"
"52","ny","1",54,"1","Democratic","","Democratic",112000,"Apartment",325217,"0"
"53","tx","1",58,"1","Democratic","European","Democratic",58412,"Residential",370371,"1"
"54","mo","1",72,"0","Democratic","European","Democratic",49000,"Residential",88958,"0"
"55","tn","0",52,"0","Republican","European","Republican & Independent",25000,"Residential",298755,"0"
"56","nj","1",19,"1","Non-Partisan","Hispanic and Portuguese","Republican & Independent",250000,"Residential",796060,"0"
"57","il","0",27,"1","Non-Partisan","Hispanic and Portuguese","Independent",58640,"Apartment",139582,"0"
"58","il","0",62,"1","Non-Partisan","European","Independent",75000,"Apartment",60202,"0"
"59","nj","1",70,"0","Republican","European","Republican & Independent",220651,"Duplex",1190733,"0"
"60","tx","0",38,"1","Republican","Hispanic and Portuguese","Republican",26999,"Apartment",106666,"0"
"61","ca","0",25,"0","Non-Partisan","Hispanic and Portuguese","Republican & Independent",73000,"Apartment",625000,"0"
"62","nc","0",70,"0","Republican","European","Republican & Independent",85533,"Residential",194138,"0"
"63","nj","1",57,"1","Republican","European","Republican",123000,"Residential",238148,"1"
"64","tx","0",37,"1","Democratic","","Democratic & Republican",186764,"Residential",262804,"0"
"65","in","0",68,"1","Non-Partisan","European","Independent",8000,"Duplex",67257,"0"
"66","tx","1",76,"0","Non-Partisan","European","Independent",75000,"Residential",111148,"0"
"67","wi","0",86,"1","Republican","European","Republican",NA,"Apartment",NA,"1"
"68","tn","1",38,"0","Republican","European","Republican",45000,"Apartment",226666,"0"
"69","wi","1",76,"0","Republican","European","Republican & Independent",36000,"Residential",368764,"1"
"70","ca","1",38,"1","Democratic","European","Democratic & Independent",117845,"Residential",1195576,"0"
"71","nc","1",79,"1","Republican","European","Republican",79043,"Residential",46548,"1"
"72","tx","1",29,"0","Non-Partisan","Hispanic and Portuguese","Independent",26582,"Apartment",100265,"1"
"73","ma","0",34,"0","Non-Partisan","European","Independent",65000,"Apartment",217499,"1"
"74","oh","0",22,"1","Non-Partisan","European","Republican & Independent",75000,"Residential",85832,"0"
"75","ca","1",79,"0","Democratic","","Democratic",132000,"Residential",841906,"1"
"76","fl","0",49,"0","Republican","European","Republican",42000,"Unknown",76518,"0"
"77","ia","1",30,"1","Democratic","European","Democratic",140624,"Apartment",442239,"1"
"78","ok","0",60,"1","Democratic","European","Democratic",36441,"Residential",187878,"0"
"79","ct","1",84,"0","Republican","European","Republican & Independent",108000,"Residential",306491,"1"
"80","mn","1",38,"0","Non-Partisan","European","Independent",94000,"Residential",195414,"0"
"81","va","1",24,"0","Democratic","Likely African-American","Democratic",115000,"Apartment",449999,"0"
"82","ca","1",48,"1","Democratic","Other","Democratic",97000,"Apartment",375000,"0"
"83","ca","1",62,"0","Republican","European","Republican",116000,"Residential",1173765,"0"
"84","nc","1",61,"1","Non-Partisan","European","Independent",56000,"Residential",123610,"1"
"85","nj","1",27,"1","Democratic","","Democratic & Republican",121791,"Residential",460541,"0"
"86","ca","1",66,"0","Democratic","Other","Democratic",52999,"Apartment",713314,"0"
"87","ny","1",65,"1","Democratic","Other","Democratic & Independent",84190,"Triplex",378664,"0"
"88","tx","1",70,"0","Republican","European","Republican",96568,"Residential",140896,"1"
"89","tx","1",37,"1","Democratic","European","Democratic",124000,"Residential",199025,"0"
"90","ga","1",21,"0","Non-Partisan","European","Independent",174000,"Residential",470015,"0"
"91","nj","1",48,"0","Non-Partisan","European","Democratic & Independent",32000,"Residential",223437,"0"
"92","ga","0",56,"0","Non-Partisan","European","Independent",46666,"Residential",130249,"0"
"93","ca","0",20,"1","Non-Partisan","Hispanic and Portuguese","Independent",32000,"Apartment",577889,"0"
"94","or","1",44,"0","Democratic","Hispanic and Portuguese","Democratic & Independent",183548,"Apartment",875000,"0"
"95","ga","0",55,"1","Non-Partisan","Other","Independent",90999,"Apartment",261300,"0"
"96","il","1",26,"1","Non-Partisan","Hispanic and Portuguese","Independent",80378,"Unknown",120624,"0"
"97","wi","1",61,"1","Democratic","Likely African-American","Democratic & Independent",39000,"Residential",221225,"1"
"98","fl","0",29,"1","Democratic","Likely African-American","Independent",14000,"Apartment",NA,"0"
"99","ca","1",71,"1","Non-Partisan","European","Independent",158771,"Condominium",625000,"0"
"100","wi","1",46,"1","Non-Partisan","European","Independent",12000,"Unknown",69434,"0"
"101","tx","0",28,"0","Republican","European","Republican",70000,"Residential",187500,"0"
"102","ga","1",64,"1","Democratic","Likely African-American","Democratic",9000,"Residential",156770,"1"
"103","mn","1",75,"0","Republican","European","Republican",64000,"Residential",277260,"0"
"104","va","1",57,"1","Democratic","Hispanic and Portuguese","Democratic",111000,"Apartment",259080,"0"
"105","fl","1",45,"1","Democratic","European","Democratic",7000,"Apartment",62500,"0"
"106","fl","1",65,"0","Republican","Likely African-American","Republican",62439,"Residential",181215,"0"
"107","ms","1",64,"1","Democratic","European","Democratic & Independent",60000,"Residential",210941,"1"
"108","va","1",54,"1","Democratic","Likely African-American","Democratic",30000,"Unknown",137766,"0"
"109","md","1",79,"0","Republican","European","Republican",115000,"Residential",417250,"0"
"110","nc","1",64,"1","Democratic","European","Democratic",NA,"Apartment",NA,"0"
"111","wa","1",49,"0","Republican","European","Republican",88000,"Apartment",1233183,"0"
"112","id","1",40,"0","Republican","","Republican",102000,"Residential",375000,"0"
"113","ny","0",21,"1","Non-Partisan","European","Democratic & Independent",250000,"Apartment",702133,"0"
"114","ca","1",33,"0","Democratic","European","Democratic & Independent",97000,"Apartment",330392,"0"
"115","ar","1",62,"0","Non-Partisan","","Independent",52592,"Residential",156400,"0"
"116","nc","1",35,"1","Democratic","Likely African-American","Democratic",132044,"Residential",147972,"0"
"117","pa","1",71,"1","Republican","European","Democratic & Republican",109000,"Apartment",316666,"0"
"118","ny","1",60,"0","Republican","","Democratic & Republican",27707,"Residential",393669,"1"
"119","ky","0",26,"0","Democratic","European","Democratic & Republican",130000,"Residential",161666,"0"
"120","ia","1",30,"1","Non-Partisan","East and South Asian","Independent",36000,"Apartment",170832,"0"
"121","pa","1",49,"1","Democratic","European","Democratic",22000,"Residential",162500,"0"
"122","mi","0",58,"0","Democratic","European","Democratic",50461,"Residential",88570,"1"
"123","mi","0",24,"0","Non-Partisan","European","Independent",250000,"Residential",1265902,"0"
