"","state","voted","calculated_age","Voters_Gender","Parties_Description","EthnicGroups_EthnicGroup1Desc","Residence_HHParties_Description","CommercialData_EstimatedIncomeAmount","CommercialData_PropertyType","CommercialData_EstHomeValue","nonpartisan_donation"
"1","mo","1",85,"1","Democratic","European","Democratic",59473,"Residential",193213,"1"
"2","nc","0",59,"1","Non-Partisan","European","Independent",NA,"Apartment",NA,"0"
"3","mo","1",60,"0","Non-Partisan","European","Independent",24166,"Residential",195793,"0"
"4","mn","1",88,"0","Non-Partisan","European","Independent",31000,"Unknown",264935,"0"
"5","pa","1",55,"1","Democratic","European","Democratic",63000,"Residential",129714,"1"
"6","fl","1",43,"0","Democratic","Hispanic and Portuguese","Democratic & Republican",19000,"Unknown",76518,"0"
"7","pa","1",17,"0","Non-Partisan","European","Democratic & Independent",131000,"Apartment",360230,"0"
"8","ms","0",NA,"1","Non-Partisan","European","Republican & Independent",76492,"Residential",138655,"0"
"9","ri","0",30,"1","Non-Partisan","Hispanic and Portuguese","Independent",54102,"Apartment",178005,"0"
"10","tx","0",24,"0","Non-Partisan","European","Independent",58157,"Apartment",171225,"0"
"11","mi","0",66,"0","Democratic","European","Democratic",64425,"Residential",163193,"0"
"12","ny","1",61,"0","Democratic","Likely African-American","Democratic",74000,"Apartment",261144,"0"
"13","pa","1",40,"0","Republican","European","Republican",83895,"Residential",115823,"0"
"14","oh","1",42,"0","Republican","European","Republican",57713,"Residential",226441,"0"
"15","va","1",73,"1","Democratic","Likely African-American","Democratic",118000,"Unknown",165788,"0"
"16","ny","1",33,"1","Republican","European","Republican",148000,"Residential",367084,"0"
"17","ny","1",87,"1","Non-Partisan","Hispanic and Portuguese","Republican & Independent",51000,"Unknown",219804,"1"
"18","tx","0",31,"1","Non-Partisan","European","Independent",148000,"Unknown",NA,"1"
"19","ok","1",38,"0","Republican","European","Republican",52641,"Residential",343477,"0"
"20","ca","0",29,"1","Republican","European","Republican",86604,"Apartment",625000,"0"
"21","va","1",69,"1","Democratic","Likely African-American","Democratic",65000,"Residential",112500,"0"
"22","ma","1",85,"1","Democratic","European","Democratic",59772,"Condominium",327334,"1"
"23","ga","1",65,"1","Democratic","Likely African-American","Democratic",120000,"Residential",338888,"1"
"24","va","0",25,"0","Democratic","","Democratic",193000,"Apartment",548244,"0"
"25","ms","1",65,"0","Republican","European","Republican",138000,"Residential",259425,"0"
"26","il","0",34,"1","Non-Partisan","Hispanic and Portuguese","Independent",53809,"Apartment",262500,"0"
"27","ca","1",39,"1","Republican","Hispanic and Portuguese","Republican & Independent",48000,"Apartment",365644,"0"
"28","ma","1",54,"1","Republican","European","Republican",118141,"Residential",656060,"0"
"29","fl","1",59,"1","Non-Partisan","European","Independent",204017,"Residential",468749,"0"
"30","il","1",23,"1","Democratic","European","Democratic & Republican",52666,"Residential",197824,"0"
"31","tx","1",60,"1","Democratic","European","Democratic",68000,"Residential",222056,"0"
