"","state","voted","calculated_age","Voters_Gender","Parties_Description","EthnicGroups_EthnicGroup1Desc","Residence_HHParties_Description","CommercialData_EstimatedIncomeAmount","CommercialData_PropertyType","CommercialData_EstHomeValue","nonpartisan_donation"
"1","tx","1",55,"1","Democratic","Likely African-American","Democratic",66000,"Apartment",188779,"0"
"2","tx","1",35,"0","Non-Partisan","European","Independent",194000,"Apartment",168253,"0"
"3","ia","1",65,"1","Republican","European","Republican",93000,"Residential",254207,"1"
"4","il","1",68,"1","Democratic","","Democratic",56000,"Residential",468749,"0"
"5","sc","1",68,"1","Democratic","European","Democratic",70594,"Apartment",174179,"0"
"6","tn","1",88,"1","Republican","European","Republican",91959,"Residential",176168,"0"
"7","oh","0",28,"1","Democratic","","Democratic",8000,"Residential",107805,"0"
"8","oh","1",64,"0","Democratic","European","Democratic",NA,"Apartment",NA,"1"
"9","va","0",61,"0","Democratic","Likely African-American","Democratic",15000,"Apartment",158928,"0"
"10","nv","1",25,"1","Non-Partisan","European","Independent",NA,"Unknown",NA,"0"
"11","ca","1",41,"0","Non-Partisan","Hispanic and Portuguese","Democratic & Independent",40454,"Residential",255715,"1"
"12","pa","1",30,"0","Republican","","Republican",69000,"Residential",186584,"0"
"13","al","1",46,"1","Republican","European","Democratic & Republican",86153,"Residential",560155,"1"
"14","ny","1",49,"0","Democratic","Likely African-American","Democratic & Independent",135359,"Apartment",1372551,"0"
"15","ar","1",55,"0","Democratic","European","Democratic",41000,"Residential",241666,"0"
"16","fl","1",72,"1","Republican","European","Republican",86135,"Residential",76279,"0"
"17","wa","1",44,"1","Republican","European","Republican",81000,"Apartment",270882,"0"
"18","tn","1",36,"0","Republican","European","Republican & Independent",122000,"Residential",463157,"1"
"19","la","1",72,"1","Democratic","Likely African-American","Democratic",86089,"Residential",214473,"0"
"20","mi","1",30,"0","Republican","European","Republican",163662,"Apartment",287893,"0"
"21","sc","1",41,"1","Republican","European","Republican",137000,"Residential",579664,"0"
"22","tn","1",48,"0","Non-Partisan","Likely African-American","Independent",73000,"Residential",162500,"1"
"23","tx","1",61,"0","Reform","European","Independent",73000,"Apartment",188651,"0"
"24","fl","1",58,"1","Democratic","European","Independent",36000,"Residential",641771,"0"
"25","tx","1",63,"1","Democratic","Hispanic and Portuguese","Democratic",51000,"Residential",414707,"0"
"26","nh","1",69,"0","Democratic","European","Democratic",102960,"Residential",229121,"1"
"27","ny","1",39,"0","Republican","European","Republican & Independent",250000,"Residential",682232,"0"
"28","il","0",19,"1","Non-Partisan","European","Independent",250000,"Apartment",288845,"0"
"29","az","0",17,"0","Republican","European","Republican & Independent",118000,"Apartment",351431,"0"
"30","ok","1",63,"1","Democratic","European","Democratic & Republican",163524,"Unknown",236825,"0"
"31","ca","0",33,"1","Democratic","Likely African-American","Democratic & Independent",205000,"Residential",1238114,"0"
"32","oh","1",57,"0","Democratic","Likely African-American","Democratic",53042,"Residential",154430,"0"
"33","tn","1",27,"0","Republican","European","Republican",51399,"Residential",453554,"0"
"34","ok","1",50,"1","Democratic","European","Democratic & Independent",53749,"Residential",115131,"0"
"35","ri","0",42,"1","Non-Partisan","European","Republican & Independent",109000,"Unknown",497972,"0"
"36","oh","0",50,"0","Democratic","Likely African-American","Democratic & Independent",52856,"Residential",101150,"0"
"37","va","0",30,"1","Democratic","European","Democratic",225000,"Residential",1672964,"0"
"38","tx","0",49,"1","Democratic","","Democratic",30287,"Residential",187500,"0"
"39","va","1",37,"1","Non-Partisan","European","Independent",83000,"Residential",212500,"0"
"40","ny","1",55,"1","Democratic","Other","Democratic & Independent",120068,"Apartment",392906,"0"
"41","ca","1",46,"0","Democratic","Hispanic and Portuguese","Democratic",75000,"Residential",496428,"0"
"42","sc","1",22,"0","Non-Partisan","Likely African-American","Independent",52000,"Residential",44979,"0"
"43","tx","0",35,"1","Democratic","Hispanic and Portuguese","Democratic",61704,"Unknown",87500,"0"
"44","pa","1",26,"0","Non-Partisan","","Democratic & Independent",250000,"Unknown",562499,"0"
"45","mo","1",38,"0","Republican","European","Republican",66000,"Residential",144253,"0"
"46","fl","1",38,"1","Democratic","Likely African-American","Democratic",139000,"Apartment",711930,"0"
"47","tx","0",22,"1","Democratic","Hispanic and Portuguese","Democratic",58000,"Residential",192238,"0"
"48","fl","1",70,"1","Republican","European","Republican",77000,"Residential",273973,"1"
"49","ca","0",56,"0","Republican","European","Republican",117000,"Residential",378377,"0"
"50","ia","1",59,"0","Republican","European","Republican",59000,"Residential",120937,"0"
"51","ny","1",60,"0","Republican","European","Democratic & Republican",23000,"Apartment",201740,"0"
"52","fl","1",31,"1","Republican","","Democratic & Republican",63685,"Unknown",369791,"0"
"53","ma","1",30,"0","Non-Partisan","European","Democratic & Independent",250000,"Residential",1703714,"0"
"54","ms","0",NA,"1","Democratic","Likely African-American","Democratic",39000,"Apartment",128803,"0"
"55","ca","0",53,"1","Democratic","European","Democratic",36000,"Apartment",84642,"0"
"56","ca","1",62,"1","Democratic","Hispanic and Portuguese","Democratic",58972,"Residential",466331,"0"
"57","ut","0",18,"0","Libertarian","Hispanic and Portuguese","Democratic & Independent",109000,"Unknown",153225,"0"
"58","ma","1",50,"1","Non-Partisan","European","Independent",49000,"Residential",325000,"0"
"59","nc","1",82,"0","Republican","European","Republican & Independent",70000,"Residential",546874,"0"
"60","nj","1",69,"1","Democratic","East and South Asian","Democratic",62499,"Apartment",308124,"0"
"61","fl","0",22,"1","Democratic","Likely African-American","Democratic",38628,"Apartment",112500,"0"
"62","in","1",42,"1","Democratic","European","Democratic",242000,"Residential",293890,"0"
"63","al","1",62,"1","Republican","Likely African-American","Republican",79000,"Apartment",123164,"0"
"64","mo","1",22,"0","Republican","Likely African-American","Republican",64000,"Apartment",188541,"0"
"65","tx","0",64,"0","Republican","European","Republican",20000,"Residential",112500,"1"
"66","la","0",38,"0","Democratic","Likely African-American","Democratic",50394,"Apartment",165033,"0"
"67","tx","1",19,"1","Republican","Hispanic and Portuguese","Republican",103213,"Unknown",137500,"1"
"68","ma","0",29,"1","Democratic","European","Democratic",112000,"Triplex",991766,"0"
"69","nc","1",25,"1","Democratic","East and South Asian","Democratic",200000,"Residential",396643,"1"
"70","ky","1",60,"0","Democratic","European","Democratic",55644,"Residential",299037,"0"
"71","ca","1",32,"1","Republican","European","Republican",79000,"Residential",586358,"0"
"72","pa","1",48,"1","Democratic","Likely African-American","Democratic",10000,"Apartment",90551,"1"
"73","tx","0",18,"0","Non-Partisan","European","Independent",39642,"Apartment",133735,"0"
"74","pa","1",92,"1","Republican","European","Republican",17000,"Residential",193792,"1"
"75","or","0",27,"1","Democratic","European","Democratic & Independent",27577,"Residential",394088,"0"
"76","ca","1",50,"1","Non-Partisan","European","Independent",125594,"Unknown",351941,"1"
"77","wa","1",23,"1","Democratic","European","Democratic",250000,"Apartment",472943,"0"
"78","ri","0",43,"1","Non-Partisan","","Democratic & Independent",122000,"Unknown",376728,"0"
"79","co","1",68,"1","Democratic","European","Democratic",97000,"Residential",455532,"1"
"80","md","1",22,"1","Democratic","Likely African-American","Democratic",57240,"Apartment",240143,"0"
"81","oh","1",40,"0","Republican","","Democratic & Republican",156617,"Unknown",392228,"0"
"82","fl","1",61,"0","Democratic","European","Democratic",91000,"Apartment",137774,"0"
"83","ar","1",80,"0","Republican","European","Republican",21000,"Residential",89631,"0"
"84","ca","1",58,"1","Democratic","European","Democratic",187000,"Residential",843457,"0"
"85","il","0",49,"1","Non-Partisan","European","Independent",227003,"Apartment",343547,"0"
"86","wi","0",44,"1","Republican","European","Republican",38000,"Apartment",103255,"0"
"87","nj","0",21,"1","Non-Partisan","","Independent",65706,"Apartment",350685,"0"
"88","nc","1",42,"1","Democratic","Hispanic and Portuguese","Democratic",8000,"Unknown",62500,"0"
"89","pa","1",73,"0","Republican","European","Democratic & Republican",130000,"Residential",235470,"1"
"90","ca","0",19,"0","Republican","Hispanic and Portuguese","Republican & Independent",68000,"Unknown",367399,"0"
